0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-0.6303036,-0.5485536,-0.09715791,0.405528,0.8980339,0.2929683,-1.4239678,-0.5666306,-1.0030577,0.42075902,-0.56208205,0.7613566,-0.59411454,0.30111492,-0.84156173,-0.7324383,-0.15002668,-0.03540314,-1.4333746,0.43226647,0.31832147,-1.232185,0.7571552,0.59222186,-0.31429738,0.6312198,-0.7400495,-0.6389465,-1.1315818,-0.18696502,-0.38084462,1.1051588,-0.9359262,1.1029006,-0.6128824,-0.9787847,0.069019355,0.055268317,-0.14901406,-0.25686574,-0.43514448,0.17702605,-0.21419306,0.97932374,-0.69634056,-0.39296082,1.5248184,0.41771364,1.001287,-0.6492517,0.35429263,-0.5768774,1.8217127,-1.3707354,-1.2582223,0.61898595,-0.14164823,0.120000534,0.48375002,0.29387465,0.9739493,0.36396563,1.2654841,-1.139214,0.4146077,0.07699309,0.42669788,0.41029167,0.03933552,-0.45194075,0.02036947,-0.33359537,0.027407393,0.96615565,0.15992184,0.46626887,0.00036798418,-0.43649936,-1.0040238,1.4732199,0.036001235,-0.15154012,-0.65320575,-0.046357214,-0.40201703,-1.5755713,0.44978473,1.1140296,0.035029933,-0.21202792,0.5540391,1.4047487,-0.6572409,-0.16319081,-0.73912984,1.1305072,-0.49164966,-0.9007246,-0.23772208,-0.6324049,-0.99173886,-0.09974578,0.26364863,-0.0645595,0.21524125,0.75368804,-0.35194302,0.24624349,0.40821534,0.31223267,-0.10330813,-0.040612966,-0.39403036,0.7206184,0.75230986,-1.1326108,-0.3778928,-0.2678749,1.173133,0.54640555,0.21152182,0.21254778,-0.9417792,-0.34914166,0.37989083,0.07338555,-0.11995004,-0.3758941
0.59255457,-1.2364094,0.67557967,-0.24586055,-0.9000455,-2.6804836,1.025624,0.16966173,0.10676837,-0.27910382,0.1599421,0.79310197,0.19209498,-0.6048442,-0.8549506,0.6405883,-1.2548188,-0.599941,0.771294,1.2544767,2.570671,1.017167,-0.92919135,-0.6360599,1.5695777,0.915711,-0.40153956,2.5654464,-1.7215149,-1.8252784,0.30033174,1.4028149,2.5641594,-1.8437301,-0.11568141,-0.7610551,1.6007133,-0.0029234737,-0.9829031,0.1648193,-0.72770166,0.69564694,-0.6454422,-1.8152453,-0.78426164,-0.56153697,-1.7854849,0.009672463,1.2353321,1.0814438,-0.3299532,-0.7119841,-0.7024306,0.88104546,0.3352649,0.40246317,0.5117743,-1.0412523,1.3015399,0.5323665,-0.35791832,-0.33192262,0.04189259,-0.44846797,0.70497334,0.15382794,1.976567,0.1963799,0.8698952,-1.4648106,-0.1618684,-0.42969894,-0.3327962,1.2680248,-2.0238333,-0.12678817,-0.8243266,-0.8815181,-0.9362531,1.8370297,-0.8911413,-0.25264406,0.60321665,0.75673234,0.27195618,0.8493073,0.4118799,-0.3093276,-0.5409758,3.4327261,2.3341267,-2.0643458,-0.5431796,0.7657379,0.43905795,-0.6247403,0.047130074,0.5296661,2.3995278,0.68399215,0.09684415,0.41584244,0.364395,-0.18925506,1.3069956,0.74202937,-1.6229925,0.7567259,-0.027342826,-0.41929257,1.3952045,-0.20720735,-0.39959905,-0.5395385,-0.8991338,-0.6242679,0.36780128,0.5945732,-0.41616014,0.8330026,0.49177843,-0.8247783,0.46787444,0.136741,-0.76320064,0.37849674,1.1803256,0.2846666
-0.7523952,-2.5152483,-0.8329625,0.84717864,-1.6457798,0.5631107,0.58217335,-1.0813622,-0.29122397,-1.3771974,-1.621192,-0.80934393,-2.0927281,-0.3454157,0.35496855,2.0140696,-1.9023855,-2.4277358,0.13290465,0.46605211,1.3589092,0.34734458,-0.44731683,-0.7841815,0.36857855,0.45948625,-0.9754684,2.8010445,-0.22077206,-1.6386044,0.5088091,1.7505909,-1.2602991,-2.0810156,-2.1225703,1.5417719,-0.74700034,-1.0652508,1.7242298,0.7414772,0.4977625,1.3194714,0.24405912,-2.0138178,-1.0568503,0.041221824,1.0117054,0.04078448,2.5188632,-3.5617766,1.9289343,1.1405305,-0.45286366,-0.19432765,3.5514736,-0.53123236,0.18044992,0.7504922,-0.6416894,0.01245749,1.3381438,-0.1123575,2.1761045,-3.8328452,-0.7370327,-0.015796304,0.42349774,-1.7003073,3.1554747,-2.5490131,-0.68507206,-0.8335895,-0.025551349,0.12883782,-3.1220016,-0.90767,-0.0565219,1.5920894,-3.028636,0.96466506,0.16146651,-0.49041167,0.22319785,0.33092046,1.1606345,0.39998597,-0.50448906,0.7236428,0.94249165,1.67854,2.4029953,4.079891,0.05690717,-0.3051384,1.099033,-0.9391561,-0.67778414,3.0246022,0.036909014,0.5662497,-0.52109027,-0.5580892,1.4764156,0.9998065,1.08701,0.46113038,0.84602773,-1.0774329,0.082347766,-0.7402314,0.7892642,0.75177234,-0.73737156,-1.1042473,-3.8287206,0.52101415,2.227829,0.26870364,-2.2501712,0.95956635,-0.7267225,-1.3040838,-0.43545952,-1.559766,0.10516566,1.0930656,2.1783261,1.2993338
1.1204146,1.589006,-0.21605095,-0.7138594,-0.4991398,1.0535543,2.1244702,-0.22946076,0.6451138,-1.5665627,2.6295297,-1.8973746,-0.17544267,1.1404305,-1.1830566,-1.8479748,0.3118013,1.5276351,2.2873478,-0.674995,-1.495988,3.4854326,0.7996534,-0.52032435,0.41277134,0.28958154,0.7887917,0.28529224,-0.07229249,-2.3785572,0.8159348,-0.3829046,1.6561986,0.21367422,1.74048,0.17569837,0.5270767,-0.21015765,-0.734185,-0.5988451,0.1501576,0.020191714,-1.1396835,0.3295663,0.55970883,0.47990072,-2.7238617,-0.46124554,1.3416075,-0.32511154,-0.11320335,-1.3303878,-2.1652598,0.58327067,0.29231834,0.3157266,0.4262231,-2.5714355,-0.69369274,-1.3330083,-2.7649903,-0.82762724,-0.98335457,0.3723281,-0.07791502,-0.0046804547,0.8100499,-0.98770154,0.9051255,1.2408,0.369702,-0.35810584,0.6380985,-0.9455776,1.3005341,-0.40328342,0.48307747,-0.3515365,1.1995935,-1.1318119,0.16591519,0.7087158,0.6722135,1.2378759,0.3285342,0.23748624,1.3158255,-1.9140098,-1.4405161,-0.05405779,0.49610218,-2.2816133,0.19127887,0.74999785,1.3097258,-0.6812696,-0.28969076,-0.74876964,0.084373474,0.69107485,0.9628154,1.146967,0.81095225,1.0234991,-0.694947,-1.0011623,-0.21513245,0.62107956,-1.649653,0.98826885,0.5795118,-0.7910961,1.028844,-0.043348998,0.7079251,-0.7732346,1.0286578,0.414546,-2.4195096,-0.11095381,-1.4677111,0.21402505,3.7271326,-0.13366574,2.1784377,-0.18374941,-0.5200304,-0.10587698
0.18603995,-2.5722456,0.7567324,1.1321769,-1.5176408,-3.491315,-0.62779254,0.45617494,-0.61149156,-0.38153243,0.30219746,2.9895716,-1.4922642,0.50839454,0.83665687,0.9649655,0.46782035,1.4015597,-0.42009676,1.1951827,1.188835,-1.5707744,0.08905468,0.15516931,0.3301523,0.34919098,0.29217708,0.9223331,-1.6513116,0.124282315,-1.3657324,0.17534016,0.068650246,-2.1098711,-0.48990807,-1.3057983,0.35472822,0.28577232,-0.68017745,0.36424106,-0.067203745,-0.49018252,0.78818154,-1.3264599,0.76896495,-1.7348633,-0.34570098,-0.24060379,-0.1962838,2.8059764,-1.3499025,0.20342225,-0.00057291985,0.342187,0.17583956,1.5243754,-0.08274633,-0.5574847,1.539963,-0.48070145,-0.57174313,0.35811943,-0.8062698,0.6656056,0.30554938,0.7665827,-0.26271537,1.6779947,-2.6171331,-1.3332161,0.30017394,-0.003293395,1.9207138,1.5334005,-1.7072837,1.2610695,0.06337959,0.09231529,-0.044725567,0.96009505,-0.487969,-0.67774403,0.17595772,0.81947327,0.11709121,-0.6026606,1.5428165,-0.8088665,1.3110071,1.0454677,1.0959812,-0.7784526,-1.8953416,0.54778075,-0.71758395,0.5592109,-0.3892079,-0.27599022,0.48314542,0.111126125,0.21877709,-0.11608841,0.43871102,1.1011789,1.1545079,-0.62705815,-0.6662129,0.7809932,0.0510287,-1.6102737,0.078695565,0.5697875,-0.81944907,0.033320457,-0.6457087,-0.075574175,-1.9353305,-1.0229366,-0.9079406,2.5932026,0.38113156,1.0225899,-2.1229513,0.8677865,-2.4890187,-0.5230169,0.71649945,0.5485042
-0.36499465,1.3829118,-1.6643991,0.115632504,-0.08829281,0.7221162,-0.6562226,-0.004315883,-0.14669971,-0.20482233,1.2391231,-1.679604,-0.5406518,0.35733697,-0.1700671,-3.2113316,0.39502326,0.95963067,-1.0595412,-1.8341872,-1.8306394,1.438766,1.3797772,-0.8537748,0.40690473,-0.9362359,0.8197343,-1.6860738,0.9132784,0.13824761,1.057275,-0.22355735,0.075167924,0.93243915,0.4854417,-0.1559926,0.2391733,-1.0789928,0.04068481,0.08930422,-0.3401081,0.04415419,-0.17574394,1.5999584,0.6048979,0.4159145,-0.2811525,0.36030287,-0.8395535,-0.26696482,-0.5836727,-0.83775806,-0.59342355,0.41204792,0.4432283,0.1910242,-0.5247705,-0.72315395,-1.1812102,-0.60262156,-0.84879124,0.3420549,-0.763254,2.0372984,0.10494533,-0.57890695,1.8325853,-0.75650144,0.07584858,1.465889,0.07960931,-0.65450746,0.82774806,0.1384255,0.40778604,-0.34169787,-1.1768931,1.2009426,0.622539,-0.5230235,-0.64773035,0.43131465,1.715673,0.5739181,-0.090445004,0.49979597,1.4538516,1.2284974,0.82651615,-1.5382634,-0.32535216,0.89023113,1.0148618,0.53165746,0.7732771,0.8335011,-1.1486759,0.036682338,-2.0741978,-0.11575283,0.93490785,-0.29781303,-0.5924798,0.86336255,-0.8454602,0.2686544,-0.66907316,-0.56293184,-0.6832769,0.6221162,0.23317131,0.047699884,1.7757388,0.06304431,1.0614651,0.14987886,0.77146286,0.02449891,-0.17389376,-1.7091419,0.6749059,-0.33015034,1.9634583,0.019979984,1.8125545,-0.3773047,-0.1299169,-0.6624096
-0.30886722,-1.0628967,-1.7077134,-1.3279315,-0.5508145,0.4893567,-0.17199743,-0.62142694,0.5019477,-0.60209656,-0.050820112,-1.2136118,0.14275834,0.0068445206,-0.14992082,2.2484138,-1.7545826,-2.0126283,-0.668806,0.010895912,0.39796752,-0.57492316,0.13241541,-0.17264071,-0.049653586,-0.47333488,-1.3607334,2.4692717,1.2059447,-0.9627055,0.7333069,-0.92514694,-2.2055197,0.5106255,-2.4108615,2.606588,-2.4734523,1.1841536,1.8557202,0.34678385,-0.15329152,0.6831669,1.4412315,-1.6338639,-1.205169,1.878402,0.7905474,0.23526691,1.9142104,-3.6399114,1.4973161,2.111052,-0.4186533,-1.0197334,3.2517352,0.7237621,0.8933288,1.0434736,1.2375162,-1.0785009,1.7054517,-0.41086975,0.7795241,-4.1273785,-0.837723,0.73100203,-2.0820212,-1.658501,2.1647894,-2.416376,-0.040760666,0.33272347,-0.0009597838,0.62037426,-2.2770605,-0.95509803,0.1904017,1.8572154,-0.43714035,-0.403611,0.381484,0.267128,-0.7095066,-0.6150245,1.0185027,0.07455853,-0.9315939,-0.1380859,-0.509787,0.7895863,3.0134118,4.2897663,0.22934368,1.6257488,0.7623838,-0.39258873,1.8284543,3.8414626,0.28389242,1.8114296,-0.5255377,-0.33337846,-0.28382522,0.012985894,1.9891601,-0.253512,-0.024429068,-0.43791848,-0.43404806,-1.4379444,-1.0362959,0.8011994,-0.3458325,-0.817477,-3.4893577,0.3133171,1.926539,0.14902446,-1.8944132,2.9625328,-0.54730207,-0.1564547,-0.89161277,-2.5738091,-2.7545948,0.44275478,1.8221165,1.1825285
-1.099005,-2.2854962,0.8713979,-0.4302495,-0.25155056,-3.934704,0.7838857,0.90830517,-1.3323953,0.1630674,0.01155794,1.3493557,0.49617484,0.66377705,0.25998396,0.24628982,1.0529139,1.7873316,0.047581717,1.5920141,2.53352,-1.3237536,0.5185241,-0.8432775,0.60156703,0.86100996,0.3169959,1.57831,-0.11009969,-0.5742594,-0.88443744,0.605286,-0.45504108,-1.7870102,-0.40822643,-1.7595856,2.027075,0.6081073,0.07738447,-0.95126724,-0.7529683,0.28862765,0.3953984,0.112332106,2.7474992,-1.4873495,-0.03265649,-1.4250228,-1.3150557,3.4274554,-0.2503482,0.7047552,-1.9252009,-0.09139396,0.15277046,-0.09526326,0.4503252,0.23810256,-0.0034835637,0.24207091,-0.34059086,-0.85365397,-1.9468534,0.5309944,0.1650665,0.9539595,0.38495618,1.4495056,-1.9549787,-1.0449426,0.8248483,-0.42066324,1.0445938,-1.0560172,-1.2882121,0.11133772,-1.1412449,-1.873798,-1.5567015,0.74725854,-0.2867439,-0.61864614,0.012635291,1.6912041,-0.6773562,0.07099141,-0.3640197,-1.2155151,1.3200909,0.941695,0.8153934,-1.0283433,-0.97693574,0.5772755,-1.1931263,0.18630356,0.9554961,0.976485,1.7659724,0.90880555,0.8016274,-1.5250586,0.870831,0.15950269,0.028767109,-0.3477053,-0.4771872,0.92704296,1.9192696e-05,-0.09419379,1.7231418,1.2452867,-2.0948691,-0.14836594,-1.1838979,0.4087431,-1.3995482,0.044810653,-0.5093249,0.40932614,-0.010157973,0.47367728,-1.1293546,0.5172087,-1.1810858,-0.026905954,0.6252652,0.30392188
-1.2873778,-2.1436882,-1.4422468,0.56531465,1.744881,-5.006218,-0.82625645,1.3676621,-0.87800014,0.18992808,1.6587055,0.8931484,0.8427852,0.5592916,0.7431787,0.6239579,-0.09942356,1.3158932,-2.1750646,0.027877152,2.0448515,-3.205451,1.3766189,-1.0044874,1.2358708,-0.49739635,-0.3005044,0.34526294,2.1894062,1.3691039,-2.3601952,-1.7049589,-1.3011239,-1.1175187,-3.0259774,-2.528175,0.89344823,1.0481465,0.10656784,1.4740908,0.07383591,0.04848388,1.494283,-0.11383262,2.4045262,-1.1120967,0.28669468,-0.7681642,-2.4632945,3.073513,-0.2577268,0.04320936,0.7112038,-0.38911808,-0.37044317,2.0049205,0.25210673,-0.16802162,1.7487212,-0.63207877,0.44778013,-0.0060389936,-2.1007204,0.8933349,-0.010207385,0.71408993,-1.8017731,0.661596,-3.6286168,-0.36074254,-0.8798745,1.4723341,0.11421955,1.3780351,-2.1489985,-0.36540622,-2.1445603,0.2551309,0.20534885,-0.5201993,-0.57972205,0.50585055,0.70197594,0.6121967,-0.84800524,-0.32783687,0.7310431,-1.2054179,0.7119603,1.3597417,2.8352623,1.5840619,-0.67275846,1.4114833,-1.6733016,0.5622678,1.4404466,2.0163825,0.54009527,1.7218226,1.6983038,0.78609407,-0.81277645,-0.86483604,0.044651173,-0.22486624,-1.2041118,0.02209407,-1.3700397,-1.154297,-0.6512583,2.2583635,-0.31423178,0.40012756,-0.97939014,-0.076272905,-1.5440564,-1.0890479,-1.0089616,1.3373419,1.6510556,0.027506903,-2.7219505,0.7907845,-3.5794306,-1.0455915,0.4726243,0.37113625
-1.5815083,-3.0858395,-3.5263746,0.24931021,-0.10482618,-3.276609,-0.21499902,0.041896224,-0.28726578,-1.1865348,1.0426352,-1.7098788,-1.8816886,-1.1078358,-0.75533867,1.1739628,-3.0996058,-1.7781682,-1.2778351,-0.784371,3.581403,-1.0681325,0.32261622,-0.24600789,1.7787942,-0.25902337,-0.5873512,3.2210217,0.68535477,-0.69447887,-0.1258587,1.2095034,-1.9245541,-0.76524496,-4.8499513,-1.2473446,0.66287017,0.216055,1.1011757,1.7065407,-1.2980154,0.4524364,1.5058509,-0.5899995,-0.12930056,1.0079199,0.14213657,0.59513545,-0.19050714,-2.5733461,1.393162,0.70443213,0.5854881,0.051927567,3.1212814,1.0951749,0.9070438,1.0008066,2.1659844,0.4905573,2.8570242,-0.1114341,0.8523594,-3.025782,-0.22203273,-0.6605034,0.0027573705,-2.1359568,1.5567822,-1.7197843,-1.094716,-0.68277776,-0.10288698,1.8263353,-6.258709,-0.47138435,-1.9544545,0.39858648,-4.1006994,1.4121542,0.26682612,-0.22693533,0.5560462,0.03194177,0.124975145,-0.4057558,-0.92859745,0.24663241,0.1344492,3.7995882,5.48214,5.3802276,0.6514169,2.3101134,0.8441396,-0.35951608,0.21641546,4.7149982,0.95364654,2.6463213,2.3968835,0.88324094,-0.28132433,0.49803197,1.8033485,1.4476342,-0.64608747,-0.7575195,0.26192084,-1.6624548,-0.48255152,1.3440558,-0.041153014,-1.4247977,-4.840811,0.018859863,2.4341621,0.15824312,-2.068337,1.5220122,0.46101636,-0.9686406,-2.4022436,-1.3140044,-2.7929044,0.7074098,3.198893,1.1014965
