Pathway,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
DNA replication,-0.5829342,-0.82805496,-0.47537422,0.78119534,0.08007705,0.21133512,0.5236654,-0.08282758,-0.61849946,-0.08983937,1.186056,-0.66209525,0.04399862,-0.02193104,0.33770567,0.20617293,-0.7920156,-0.5094091,-0.13504961,0.32804197,0.3697807,0.95319754,0.1859631,-0.016472979,-0.72701836,-0.36673108,-0.55291194,-0.0884082,0.37087414,-0.49896222,-0.06719665,-0.271891,1.195728,0.15226945,-0.49709567,-0.023109032,-0.18818077,0.072263755,0.6829378,0.55524397,0.15127774,-0.21292458,0.38388032,-0.5852812,0.2816887,-0.5023145,0.4753519,-0.3615102,-0.13229638,0.66403955,-0.18682653,-0.08720898,0.7454147,1.1084607,0.03455524,-0.6653543,-0.21564037,-0.23754722,-0.47660074,0.6433974,-0.0659999,0.24409187,0.11056259,0.28331038
Homologous recombination,-0.57074356,-0.687083,-0.5260378,0.8188645,-0.0896269,0.24743845,0.5096911,-0.120653346,-0.6344317,-0.013991945,1.0052732,-0.5159082,0.060333375,-0.20978457,0.4591592,0.29198664,-0.6142218,-0.39515063,-0.14644898,0.4339728,0.3351505,1.0151104,0.35032865,0.0024613054,-0.7310702,-0.4297491,-0.38226023,-0.20166898,0.33772975,-0.5765171,-0.09908308,-0.30764985,1.1244786,0.22261229,-0.58671945,0.1932838,-0.16584852,-0.01475739,0.79063755,0.72834593,0.16592163,-0.24775173,0.48371595,-0.60820603,0.22185414,-0.5486704,0.46290737,-0.23754059,-0.110483535,0.6247226,-0.1765596,-0.18880837,0.67426383,1.106002,-0.13017839,-0.54979235,-0.3071266,-0.3898988,-0.48810574,0.76938945,-0.23125075,0.25042608,0.031804934,0.11608127
Mismatch repair,-0.65872157,-0.80718434,-0.60661227,0.6578387,0.045471095,0.15288566,0.57173145,-0.111231,-0.5155871,-0.026935382,1.0277213,-0.5946839,0.08479563,-0.18379025,0.4009819,0.29768157,-0.67384666,-0.5291978,-0.007087129,0.38444412,0.30422866,1.0215482,0.21745759,0.09044719,-0.5700138,-0.36569813,-0.58940196,-0.1562021,0.37568495,-0.66527694,-0.08111143,-0.41674802,1.141481,0.22021186,-0.5538085,0.06757652,-0.13591076,0.04854454,0.72809434,0.6326969,0.12713565,-0.3356809,0.45239854,-0.43723157,0.36272588,-0.5917195,0.3747721,-0.38897023,-0.21314517,0.6409158,-0.20623493,-0.15326995,0.77428,0.98476297,0.04622391,-0.51456964,-0.3081279,-0.31645036,-0.42787305,0.70028883,-0.13889395,0.35262036,0.024834821,0.14408457
One carbon pool by folate,-0.9327864,-0.86667955,-0.8517333,0.8223803,-0.055486817,0.052176613,0.5159463,-0.11883187,-0.7463637,0.08448421,0.89374334,-0.6603908,0.06506521,0.1215276,0.1954682,0.17442952,-0.6963605,-0.50962496,-0.1820069,0.10342586,0.18165797,1.0190651,0.33519587,0.027444504,-0.79549384,-0.3278743,-0.4980092,0.0023299113,0.20186432,-0.5941946,-0.23513186,-0.65393484,1.0054164,0.28743988,-0.4030557,0.06943359,-0.15216812,0.015956558,0.6824269,0.8500029,0.21778987,-0.4043119,0.14777906,-0.31077138,-0.13925616,-0.33001113,0.47196433,-0.13048294,-0.044174906,0.47084004,-0.15654854,0.006122839,0.8407071,0.8136318,-0.2114093,-0.53595877,-0.38323587,-0.21391006,-0.40759352,0.8372393,-0.045009214,0.40659228,0.06969539,0.415737
Human cytomegalovirus infection,0.27166465,-0.91242146,-0.15140173,0.5430326,-0.40821165,0.14677069,-0.10391964,0.036576968,-0.44918364,0.16452174,-0.26556003,0.037761483,-0.30003136,0.3064298,-0.16448227,0.20522863,-0.18193541,-0.5305842,-0.16724995,0.3332671,-0.18621302,0.08544843,0.12020232,-0.5767382,0.5471753,-0.1381721,-0.1584826,0.21987337,-0.08671672,-0.42263705,0.19997829,0.07640425,0.3299984,0.55387807,-0.43825006,0.19029924,0.024766302,0.0034659288,-0.5921745,-0.36382568,-0.1818977,0.06821056,0.39636344,0.15331355,0.32123372,0.4615678,-0.14154473,0.0051741577,0.22119272,0.2410842,0.123398274,-0.014568408,0.26081535,0.110006005,0.3689286,0.26284945,0.36233217,-0.128757,-0.034992393,0.34105182,-0.5108537,0.22656362,0.3488605,0.32338685
TNF signaling pathway,0.10362589,-0.7394465,0.037224177,0.4493185,-0.15893787,0.33083645,-0.3995186,-0.08425728,-0.46771184,0.012631336,-0.10283832,-0.14986007,-0.7647165,0.38602602,-0.18661831,0.0486159,-0.28862783,-0.2971304,0.27179664,0.28930727,0.03732632,0.52504915,0.27767822,-0.55291295,0.11735231,0.120450824,-0.23411153,-0.09222915,0.036639195,-0.59080726,0.1952052,-0.24054542,0.15747611,-0.16227035,-0.507449,0.188949,-0.13704714,-0.07803798,-0.2314919,0.22914973,-0.030213403,0.2516738,0.46374047,-0.2861292,0.4256377,0.14304298,-0.22719489,-0.15862039,-0.16228592,0.14688568,0.041005306,-0.1921965,0.34382007,-0.22349213,-0.058839217,0.2914429,0.26572627,0.110000715,0.25618505,0.15486602,-0.24077222,0.056615967,0.6601733,0.54165566
NF-kappa B signaling pathway,0.17285211,-0.68286884,0.1916101,0.41852963,-0.024594646,0.23616403,-0.22455475,-0.017923,-0.63399076,0.02489018,-0.39926586,-0.4080522,-0.70274496,0.36246318,-0.19294982,0.4470378,-0.27414688,-0.2620954,-0.043415256,0.120742485,0.08168176,0.76176554,0.38696355,-0.3750347,-0.029276581,-0.12181132,-0.3019024,-0.22626711,-0.005946591,-0.50592667,-0.1774806,-0.17526765,0.007236627,0.10098056,-0.37289786,0.012667606,0.09590482,0.21936011,-0.21773025,-0.011589895,0.009901033,0.061682027,0.06770959,-0.17678392,0.2145782,0.06257827,-0.14065798,-0.22088027,-0.22184028,0.3976217,0.06055381,0.009780273,0.37739572,-0.08469152,0.0035449925,0.3682969,0.10744241,-0.3323477,0.07449209,-0.0018902383,-0.3016641,-0.08125431,0.62117404,0.5038983
Cholesterol metabolism,0.3376957,-0.94255066,0.16119662,-0.057248272,0.23424964,1.0121619,-0.3012949,0.33509448,-0.8750743,0.5786543,0.20226707,-0.5354272,-0.7614392,0.41089627,0.32276797,0.30956662,-0.5712511,-0.06701496,-0.079797275,0.11557432,0.0031835278,0.87945515,0.37755066,-0.09756261,-0.067946814,-0.58198404,-0.25613984,0.25964215,0.12079149,0.04454342,0.44558153,-0.54799765,0.27713767,0.027069291,-0.6617555,-0.40072665,0.50843257,-0.31888136,0.38896084,0.46145838,-0.16784805,-0.016758902,0.60587245,-0.42925838,0.6497019,-0.17649992,-0.06681634,0.48874682,0.08181411,0.5115407,-0.06907045,-0.28994986,0.35573137,-0.23415637,-0.52397203,0.22960544,0.54206765,-0.2839401,0.7035827,-0.19448218,-0.21391362,0.041959226,0.5643406,0.28978553
Complement and coagulation cascades,0.2950275,-0.87453526,0.30620947,0.03363292,-0.04559798,0.6990448,-0.20953979,0.24026674,-0.71524906,0.67584383,0.20097451,-0.36558554,-0.93988055,0.45048642,0.1794445,0.18651004,-0.5909237,0.10131417,-0.0811632,0.2825093,-0.18813369,0.77820295,0.5525554,-0.06511905,-0.20608227,-0.2753518,-0.3682414,0.1825937,-0.009671458,-0.21879913,0.43814892,-0.37061176,0.21593624,0.1235021,-0.56979126,-0.06430298,0.23131946,-0.2872833,0.1977095,0.3099959,-0.15216728,0.23625484,0.5855514,-0.22638528,0.6253008,-0.11423306,-0.14391132,0.3043677,-0.00581947,0.43136477,-0.025993316,-0.055382658,0.16606554,-0.29872006,-0.43715262,0.2180545,0.276099,-0.30631894,0.41650915,-0.14298365,-0.058890205,-0.22753416,0.6986903,0.34415984
Fat digestion and absorption,0.26939863,-0.91856605,0.18508966,-0.011235704,0.27382588,0.8266543,-0.26414195,0.27857074,-0.9833458,0.7585831,0.20903185,-0.36807758,-0.8534043,0.5886997,0.31753403,0.37038037,-0.6505688,-0.17695387,-0.020351438,0.18395525,-0.015138304,0.8435445,0.41666532,-0.069966644,-0.044836376,-0.62216026,-0.15517992,0.31551453,0.10788073,-0.008679831,0.39774165,-0.47301462,0.38166186,-0.001165326,-0.55033326,-0.32921463,0.5744322,-0.32755554,0.53233904,0.49770567,-0.15195684,0.11102055,0.78328276,-0.35793734,0.82113063,-0.18965809,-0.10644064,0.4617666,0.059922524,0.6039418,-0.07162518,-0.16568227,0.30066857,-0.33372834,-0.42285305,0.19758248,0.32241988,-0.149903,0.5846183,-0.21289478,-0.050074928,-0.117932804,0.613557,0.25073558
PPAR signaling pathway,0.16281837,-0.88634855,0.32179913,-0.105137825,0.23032922,0.9941472,-0.1392293,0.2549429,-0.80657536,0.7561109,0.26488402,-0.3959746,-0.7739521,0.46551803,0.4320067,0.402934,-0.6552165,-0.11500292,0.10144219,0.27732518,0.074372016,0.8641277,0.37473586,-0.06850018,-0.033744045,-0.6570746,-0.34706122,0.25697803,0.19225752,-0.13788015,0.3694986,-0.47551474,0.2803937,0.0122860605,-0.5384051,-0.20687073,0.65581423,-0.3811893,0.5151476,0.5035927,-0.16251825,0.08296221,0.7852057,-0.61837584,0.688851,-0.134636,-0.14960827,0.6122899,0.1356385,0.60141253,-0.06338474,-0.079071105,0.32638863,-0.19365966,-0.48835987,0.15743975,0.36369243,-0.2037243,0.62295943,-0.3209211,-0.1195418,-0.069798335,0.6029464,0.36128977
Choline metabolism in cancer,-0.8190868,-0.46679518,-0.18190078,0.5496637,-0.36494112,0.07641801,0.048424978,-0.3171095,-0.5392871,0.29072726,-0.034214165,-0.12911381,-0.29713488,0.05267542,-0.60547173,0.58653426,0.039412454,-0.13668327,-0.19046313,0.4034194,-0.0015455908,-0.17564532,-0.16452038,-0.7480518,0.4104274,-0.022270948,-0.08968842,0.22051667,0.053941656,-0.4155468,0.2548615,0.4153395,0.004293779,0.17588355,0.106561065,0.15738975,-0.33128443,-0.12079894,-0.067734055,-0.0995827,-0.16983293,0.12695563,-0.08712238,0.6129985,-0.2566276,0.20601654,0.49718466,0.19227964,-0.13866554,0.5160095,0.7671887,0.13234307,0.64148486,0.038571183,0.43981397,-0.6666708,-0.04414908,0.010435474,-0.19898386,0.19995677,-0.060159784,-0.17850146,-0.27069458,-0.307965
Prostate cancer,-0.7068725,-0.36636457,-0.24982116,0.5249622,-0.12206653,0.0052454188,-0.059176996,-0.11369661,-0.6633185,0.14289817,0.20366514,-0.21604519,-0.2909832,0.17711107,-0.3701841,0.22323549,-0.06730325,-0.28005135,-0.3208231,0.38964185,0.0625102,-0.25167894,0.12009697,-0.24600974,0.068352476,0.50616497,-0.018241113,0.22343129,-0.1355179,-0.31137562,0.3893585,0.19087195,0.10680614,0.50384885,0.071379244,0.12537977,0.037514806,-0.08280602,0.0007492009,0.048002414,-0.18742958,0.14317963,-0.07560716,0.29247707,-0.04331356,-0.05596241,0.05489623,0.2289928,0.26579154,0.23892604,0.91668004,0.319546,0.42598265,0.093232684,0.19808525,-0.41734552,0.2752174,-0.13500015,-0.13550195,0.3198818,-0.3527912,0.12600704,-0.32437634,-0.3748183
Renal cell carcinoma,-0.72185135,-0.31601965,-0.1277178,0.51914537,-0.14132641,0.09207058,-0.04112115,-0.28015214,-0.5851461,0.12589942,-0.25912875,-0.26939875,0.07975493,0.041367326,-0.34463426,0.44901,-0.1061348,-0.36271974,-0.18839547,0.56024873,0.03960052,-0.028249348,-0.11361388,-0.68693894,0.27488863,0.0044150557,-0.19711564,0.081159756,0.32647327,-0.41100708,0.7394995,0.34564883,-0.025224583,0.20102605,-0.17018181,0.13974772,-0.28025174,0.09127451,-0.17022732,-0.12620859,0.11187552,0.23174258,0.12641518,0.70456415,-0.047210697,0.044808466,0.40773928,0.10259236,0.121883936,0.20911786,0.5963941,-0.028878193,0.25268504,-0.075985916,0.6769361,-0.3871513,0.12947474,-0.29430544,-0.05848853,0.12563926,0.08068856,-0.34955898,-0.37994418,-0.44079384
Long-term depression,-0.26045975,0.12820204,0.075129844,0.025423992,0.045210294,0.028178163,0.27584147,0.20741798,-0.2991084,-0.13673879,0.13041705,-0.45674288,-0.15590791,0.0072656074,0.1030024,0.28344455,0.08375263,0.036731116,0.16869208,0.4073294,0.33712715,0.4304283,-0.34758517,-0.14411075,-0.073240995,0.071650535,-0.0005543449,-0.05687393,0.023228427,-0.32674512,0.3824449,-0.18122278,0.037473507,-0.076156065,-0.51016736,-0.36177388,0.514377,-0.30694884,0.61040616,-0.14724217,-0.06545609,-0.19260918,0.40839213,0.18489668,-0.24515548,0.21288833,0.48111305,0.10691057,-0.08684157,0.3256133,1.1041474,-0.33864516,0.57277673,-0.10880048,0.289987,-0.24239989,0.24928418,-0.60830814,0.028525699,-0.0061529074,0.295836,-0.15447678,-0.6841216,-0.08380869
Colorectal cancer,-0.33940667,-0.43316633,-0.08285792,0.34229434,-0.60230535,0.003091494,-0.27172494,-0.16767922,-0.6614086,0.15961535,-0.17203274,0.072964706,-0.2573245,0.4994486,0.14279562,0.5468902,-0.1994724,-0.47558796,-0.068063945,0.36731556,-0.0641112,-0.10563811,0.27517587,-0.69761527,0.054983642,0.10457325,-0.094014645,0.24276023,0.088100724,-0.15359232,0.5134551,0.31218365,-0.0868492,0.729465,-0.58956283,-0.049308702,-0.10891025,0.11861912,-0.44878513,0.027546395,0.15027712,-0.17260155,0.25833997,0.5813088,0.046580195,0.5525021,-0.08908226,0.34030652,0.23797908,0.28750166,0.53464854,-0.24425773,0.32533896,0.28525665,0.36862555,-0.44232038,0.34776437,0.03516742,-0.30761167,0.37308162,-0.45708156,0.4014831,-0.11832959,0.10040442
Hepatitis B,0.002479013,-0.8129711,-0.11341975,0.331512,-0.76306057,0.27985314,-0.34681088,-0.08270524,-0.59726316,0.011853844,-0.06886791,-0.012564684,-0.30539957,0.41701505,-0.016998976,0.40220806,-0.08722621,-0.32555223,-0.02931897,0.37537703,0.034444902,-0.0424223,0.325323,-0.6141715,0.27322087,0.01583239,0.31571305,0.28665414,-0.08237157,-0.19175708,0.5749507,0.116277605,-0.124594115,0.46770093,-0.66703486,0.22412848,-0.2708496,0.28395948,-0.45712918,-0.1750805,0.27132273,-0.22467141,0.18533476,0.5476718,-0.063139,0.3985768,0.046784353,0.39665565,0.09682311,0.2566269,0.33159652,0.07735626,0.35493577,0.1524322,0.2245769,-0.01543162,0.19350968,-0.008106502,-0.20767413,0.389157,-0.40931937,0.25373772,0.11426375,0.042329196
Pancreatic cancer,-0.3873041,-0.5336337,-0.16553317,0.38984403,-0.26640844,0.22387587,-0.07585273,-0.25784147,-0.55328983,0.16148652,-0.17518757,0.016945692,-0.28434592,0.28371975,-0.18444906,0.5771389,-0.21278524,-0.28342918,-0.025155067,0.51085246,-0.2136788,-0.29206198,0.16311534,-0.7642855,0.11337751,-0.056464426,0.14957038,0.12006685,0.32591307,-0.36759117,0.4199965,0.407011,-0.08638154,0.62653,-0.24080189,0.09699208,-0.18398213,-0.014834778,-0.38853684,0.18626462,0.12334044,0.014457649,0.28890818,0.5465895,-0.030796826,0.49627274,0.1563139,0.3920886,-0.017332977,0.23284048,0.65128523,-0.044211272,0.33509752,0.21987586,0.38319597,-0.35869706,0.22750351,-0.010002937,-0.100312114,0.47585887,-0.38215,0.3263227,-0.2466468,0.03896919
Small cell lung cancer,-0.4337627,-0.23724787,-0.4420932,0.38068277,-0.11003617,0.09955929,-0.1356241,-0.19958065,-0.6172048,-0.07737905,0.024539169,-0.082397595,-0.38007018,0.30828288,-0.06206528,-0.06524973,-0.23183782,-0.25552076,0.14020568,0.37279078,0.0964934,-0.2828421,0.16165896,-0.19174293,0.06920689,0.44333842,-0.1643999,0.18349479,-0.15018532,-0.4104261,0.4100902,-0.0030883714,0.19429405,0.38302067,-0.014602724,0.13695736,0.16723552,-0.4129342,-0.06662313,0.15745589,0.06249,-0.19443677,-0.24963641,0.0847845,-0.33878,0.11417116,-0.10333028,0.15590212,0.206582,0.31054917,0.7688525,0.10705983,0.43236235,0.11778793,-0.12730742,-0.26491854,0.36734518,-0.28011134,-0.33295846,0.6138401,-0.15718591,0.10029102,-0.34078768,-0.27507505
Collecting duct acid secretion,-0.2535078,-0.8309929,-0.378478,0.7638896,-0.026999807,0.653376,-0.40655673,-0.36526877,-0.86597776,-0.48749384,0.2065171,-1.1233222,-0.21926562,0.29089147,0.3350015,0.8027129,-0.17200536,-0.62647015,0.85070044,0.36377785,1.5369973,0.7882076,0.7170151,0.47733662,-0.73355925,0.98811793,-0.48597705,0.22152066,0.4316753,-0.13871512,0.022695348,-0.65279883,0.59984964,-0.051099073,-0.24620003,0.99448353,1.095014,-0.9050501,-0.07441051,-0.4025974,-0.15385187,-0.4599372,0.34972665,0.43459317,0.2994571,-0.23698102,0.5427928,-0.090764575,0.2000776,-0.042278204,-0.2220371,-0.36177078,1.295292,0.94030696,0.008998152,-1.624514,0.40610567,-0.57834196,0.24183363,0.30127287,0.09612653,-0.7586223,0.08948728,0.7142174
Vibrio cholerae infection,-0.248047,-0.7049496,-0.5918793,0.48924017,-0.19661658,0.6157907,-0.39252725,-0.30556983,-0.9204226,-0.6528553,0.21653101,-1.2616307,-0.07787347,0.3806638,0.33538118,0.77567816,-0.21508642,-0.8251439,0.8169386,0.40421468,1.5292873,0.88272333,0.6415619,0.48237693,-0.5236455,0.92410666,-0.4285682,-0.10288425,0.48482478,-0.11152953,0.032476187,-0.60969436,0.6772872,0.09203268,-0.28864715,1.100532,1.149942,-0.6280091,-0.052075103,-0.4733113,-0.19518852,-0.25459158,0.20290576,0.6144104,0.49989274,-0.43549988,0.4388376,-0.20068605,0.17900744,-0.03451976,-0.16685916,-0.332202,1.092899,1.0136395,-0.05297164,-1.5977688,0.44601393,-0.77430665,0.40609786,0.27605474,-0.033930518,-0.74205875,0.02387139,0.5397084
Endometrial cancer,-0.20899168,-0.5594777,-0.30827925,0.3269791,-0.52080303,0.21726957,-0.39349535,-0.25090063,-0.6112793,0.1505561,0.009817102,-0.027788656,-0.24430114,0.32185012,0.17916414,0.43197796,-0.044283673,-0.63665354,-0.32092196,0.50599915,-0.17549254,0.079719715,0.15080146,-0.49768853,0.28806853,0.25057012,0.041293688,0.11880766,0.25906652,-0.26725388,0.51087993,0.5807108,-0.22995573,0.63789165,-0.4180334,0.058509752,-0.20105807,0.26745385,-0.22723402,-0.019202806,0.3518132,-0.26746586,0.3344917,0.5377395,-0.081006914,0.31091627,-0.20234406,0.32871515,0.12137349,0.31599733,0.65289277,0.1118806,0.56015927,0.20032698,0.41893798,-0.34165946,0.30057025,-0.11881849,-0.18875091,0.6366957,-0.33236456,0.25573933,-0.16652694,-0.14745669
NOD-like receptor signaling pathway,0.23117723,-0.40305322,-0.018731374,0.3415035,-0.04033448,0.6651247,0.21906416,0.01984452,-0.46359703,0.002800154,-0.051048838,-0.1562566,-0.64965904,-0.04602416,-0.40829378,0.12214211,-0.3242471,-0.1556954,0.056563973,0.14059816,0.36526695,0.9084052,0.577698,-0.51163054,-0.16310269,-0.12945575,-0.29533842,-0.14819348,0.010847134,-0.6441356,0.27897468,-0.44408205,0.1780743,0.27546707,-0.4524541,0.4636958,0.04654404,-0.15607059,-0.31182837,-0.20227289,-0.19916992,0.07256742,0.4608348,-0.37871853,0.5620147,-0.07120126,-0.2767846,0.16289221,-0.24014962,0.1807891,0.2659384,-0.06584519,0.18066496,-0.50892144,-0.07026865,0.32681075,0.21095559,0.14787391,0.122977845,0.08770819,-0.56944185,0.018189019,0.26614326,0.6548994
Fanconi anemia pathway,-0.54081047,-0.7423388,-0.51669204,0.8385224,-0.09759376,0.24428928,0.536542,-0.18948558,-0.5801172,-0.055285517,1.1052648,-0.62003756,-0.04111382,-0.2152536,0.50335974,0.15853204,-0.57864463,-0.57502973,-0.10642146,0.2580636,0.23560303,1.080643,0.26647592,0.01670584,-0.71838856,-0.28087702,-0.49384218,-0.09510856,0.389394,-0.6228432,0.009575533,-0.14833735,1.0473574,0.18866096,-0.60799724,0.040803056,-0.17533107,0.23671126,0.74351215,0.6343177,0.05109292,-0.31916165,0.4227683,-0.5311211,0.3368841,-0.7429797,0.6514707,-0.18048586,-0.24140626,0.5532573,-0.19769849,-0.1898154,0.7889771,0.97839165,-0.02007143,-0.5943329,-0.16749418,-0.3507009,-0.29645985,0.76807076,-0.08238318,0.2120737,0.012339437,0.15707527
Nucleotide excision repair,-0.6218357,-0.700467,-0.4490621,0.7973917,-0.012395979,0.10109666,0.40810308,-0.22141989,-0.6420781,-0.17445391,1.0607747,-0.48249394,0.069677144,-0.10325246,0.40855616,0.25415656,-0.72779715,-0.4316221,-0.11690618,0.26406986,0.40715143,1.1001762,0.26977703,-0.051046632,-0.64708555,-0.28977594,-0.37071615,-0.26908967,0.509315,-0.46575308,-0.108265445,-0.30137107,1.0914873,0.18800676,-0.46950647,0.12476755,-0.18292323,0.0037634927,0.7207179,0.732575,0.08497207,-0.11136601,0.5606381,-0.6422098,0.3288153,-0.60978556,0.5125339,-0.15448765,-0.23057537,0.65211314,-0.27429757,-0.22326833,0.86813235,1.1094894,0.10968215,-0.50321054,-0.19077978,-0.27641383,-0.44833767,0.6344792,-0.06431319,0.25782603,-0.033822645,0.16208215
Diabetic cardiomyopathy,0.03174032,-0.16944799,-0.6448667,0.27137363,-0.5392008,-0.43433407,0.8795279,0.20626615,-0.98787826,0.28315887,0.47336686,-0.97595483,-0.37129518,-0.29532528,-0.32974866,1.1338017,0.35374087,-0.3660151,-0.30994743,-0.28985995,0.48217502,0.74835056,-0.16619866,-0.32454303,0.09235043,0.08555467,-0.1180512,-0.27451977,0.76247096,-0.16896531,-0.038811643,0.015102652,0.09329286,-0.19071408,-0.7638686,0.01947082,0.7811823,-0.85578686,-0.006211502,0.39854154,0.2811219,-0.1603483,0.42634758,-0.39809087,0.59200263,-0.333694,-0.12149369,0.016416643,0.8420585,1.1283243,0.19297908,0.2002683,0.5713003,0.37937248,-0.21739276,-0.73509043,-0.05010689,-0.10889435,0.03568528,0.34366733,0.38757414,-0.066768475,0.9099431,0.3988822
Non-alcoholic fatty liver disease,-0.016798357,-0.12914528,-0.6821891,0.22720878,-0.68992656,-0.34727266,0.77398723,0.22049399,-1.0184264,0.1880961,0.34014502,-0.8977147,-0.3408926,-0.16549218,-0.40883946,1.0510967,0.20889771,-0.34080973,-0.21336037,-0.25781235,0.63361084,0.8900716,-0.047064785,-0.22932285,0.12102058,0.28508762,-0.15404925,-0.3045153,0.98487616,-0.21667835,0.07094735,-0.09072353,-0.0677685,-0.19113953,-0.6163764,-0.020910703,0.6265243,-0.7012343,-0.044527493,0.3887704,0.15127598,-0.09406783,0.45607054,-0.26285553,0.46885106,-0.46463993,-0.051443845,0.15560569,0.78164923,1.283873,0.1119791,-0.0317827,0.47746328,0.3577016,-0.41625667,-0.7812327,-0.18607193,-0.21779487,-0.057267327,0.3150858,0.53314334,0.023838593,0.88752955,0.39017332
Oxidative phosphorylation,0.20990644,-0.2861301,-0.8292409,0.1872628,-0.58273304,-0.42287984,0.83035064,0.21531934,-0.9991878,0.080573514,0.46636924,-0.9329446,-0.47181174,-0.12254276,-0.32907215,1.0640616,0.345162,-0.31835577,-0.18026248,-0.3018955,0.7090456,0.7178158,-0.048715416,-0.40800077,-0.10176818,0.1637253,-0.16546749,-0.29640538,0.9120646,-0.1768038,0.044330314,-0.01118823,-0.06795921,-0.21556632,-0.57503355,-0.20693684,0.5867948,-0.7106744,-0.020391006,0.35508347,0.11037407,-0.089396566,0.5225621,-0.27881065,0.41907924,-0.53891504,-0.10981173,0.08403827,0.7581017,1.090257,0.27793297,-0.059053697,0.64078295,0.28748068,-0.45741573,-0.75850874,-0.11005667,-0.15445927,-0.047760352,0.25086555,0.49951664,0.25667125,0.821806,0.45326075
Drug metabolism,-0.6600091,0.19599085,0.11466869,0.124902986,0.65537745,0.019555312,0.45202234,0.46679696,-0.7613057,-0.3921742,0.91484714,-0.74812967,-0.6496392,-0.21516572,0.5204137,0.47316793,0.30002058,-0.85518056,0.2257577,0.36060166,0.5100001,0.93212044,0.45105323,-0.4451318,0.13757075,0.10953487,-0.29513457,0.30637407,0.16845694,0.038975615,0.33581582,-0.83609414,-0.43906194,0.5444472,-0.5096875,0.33593124,0.08356523,-0.4581598,0.37226975,0.3500742,-0.4284138,0.43669134,1.1505212,0.2696976,-0.23260021,-0.18334924,-0.23257849,-0.3122584,0.1843224,0.30937278,-0.24107297,0.17703073,0.5658063,0.7032201,-0.27126163,-0.75594735,0.6460571,-0.9028209,-0.019460125,1.1083058,-0.1012668,-0.35203415,0.82177293,0.66656214
Metabolism of xenobiotics by cytochrome P450,-0.7013379,0.20439035,0.037809864,0.30218098,0.6735575,0.10471562,0.34212655,0.5550942,-0.84108394,-0.3063358,0.8117146,-0.7952749,-0.6537198,-0.30544052,0.604772,0.4719626,0.20656672,-0.75291884,0.33598566,0.17581648,0.48933148,0.93122476,0.47120702,-0.64353466,0.00043762365,0.0880807,-0.2753994,0.15504397,0.14989609,0.070824645,0.5073244,-0.90735894,-0.45520917,0.42825305,-0.4168242,0.11055857,0.17421311,-0.51576066,0.12043668,0.33556888,-0.5315265,0.27821648,1.1382157,0.3359902,-0.29942727,-0.19141947,-0.10187605,-0.45900783,0.11113668,0.30876085,-0.3483019,0.3688434,0.68473965,0.65359217,-0.1504291,-0.7481745,0.5620038,-0.8993099,-0.037491377,1.1746593,-0.020859692,-0.2511813,0.72048193,0.6719175
Retinol metabolism,-0.5751653,0.07164355,-0.03888124,0.2759205,0.69808835,-0.060229193,0.33479333,0.4024088,-0.8597411,-0.3393004,0.83817524,-0.8777548,-0.5789775,-0.32970038,0.44296315,0.43117628,0.388513,-0.80054396,0.27091208,0.3578027,0.5886952,0.9336565,0.3079131,-0.6284508,0.26001003,-0.13973142,-0.29791656,0.07347287,0.00597893,0.17356607,0.33719298,-0.9938716,-0.5097798,0.57721233,-0.4874965,0.27694374,0.06745833,-0.5831526,0.33982345,0.42594436,-0.41888553,0.28185973,1.0357741,0.42956552,-0.10687362,-0.24178335,-0.15750971,-0.40295622,0.078752875,0.24410188,-0.3427892,0.28019127,0.55991584,0.6430855,-0.17000741,-0.74075234,0.572234,-0.84294975,-0.008196269,1.1422268,-0.0432856,-0.15465166,0.6732998,0.7526647
Steroid hormone biosynthesis,-0.5593574,0.23389718,0.03800905,0.20710358,0.6499352,-0.05255316,0.44854075,0.41153538,-0.90650415,-0.4082048,0.8182954,-0.815442,-0.8143627,-0.20924667,0.5370859,0.40195388,0.38726845,-0.9239728,0.39129987,0.20407645,0.5314411,1.0106605,0.4056078,-0.5830765,0.14548604,-0.10713482,-0.33009154,0.16712198,0.029962767,0.14266002,0.3502032,-0.7604707,-0.28639358,0.4710766,-0.5217897,0.30056605,0.14752495,-0.43397075,0.2233538,0.35945463,-0.40973866,0.40137282,1.1331863,0.48580047,-0.12721874,-0.35321355,-0.11626005,-0.38386294,0.07496907,0.23582159,-0.17371327,0.4167303,0.543818,0.6274547,-0.18660447,-0.7471054,0.47642905,-0.9259419,-0.07725638,1.15772,-0.010964533,-0.18287425,0.63283706,0.69832885
