Pathway,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Chronic myeloid leukemia,-0.26028636,-0.3320571,-0.24610113,0.6555135,-0.5526136,-0.046404317,-0.44069424,-0.17351484,-0.5892204,0.24973658,-0.24341641,-0.20429248,-0.2766893,0.38402414,-0.09267841,0.39569426,-0.16041993,-0.32915822,-0.1450369,0.5322728,-0.16111329,-0.0692626,0.18934797,-0.27417332,0.18568471,0.039335854,0.18971801,0.27185154,-0.024138572,-0.272642,0.48358732,0.09106884,0.13705908,0.6633844,-0.3938086,-0.099919654,-0.069593675,-0.316851,-0.08021214,-0.120699815,0.34616706,-0.070308805,0.035207715,0.38111663,-0.12656027,0.28628498,-0.1420012,0.22270097,0.028366903,-0.06282014,0.4273813,0.06321595,0.31234986,0.32753208,0.2829125,-0.53386337,0.2701737,-0.06824073,0.079553,0.66729903,-0.39791188,0.4608167,0.014669961,-0.30828828
Gastric cancer,-0.42067182,-0.29199812,-0.6587331,0.46830538,-0.4142533,-0.35164347,0.02892169,-0.16636813,-0.7097992,-0.180362,-0.11054377,-0.4440899,-0.38107246,0.19598512,-0.12479125,-0.2530002,-0.35360268,0.38485825,-0.06098552,0.41907516,0.19796732,0.040555503,0.5353605,-0.23524106,0.379284,0.04570156,0.120078616,0.3698273,-0.060248982,-0.4932045,0.52791965,0.036599834,0.10139293,0.1732239,-0.27361476,0.052767437,-0.053537603,-0.4131381,0.031527832,-0.114781655,0.018705806,0.26143217,0.07491733,0.33453363,-0.080262244,0.100522146,-0.18622804,0.4994026,0.22010942,0.17858274,0.62170297,0.13114524,0.31079492,0.4470921,0.11250881,-0.4967529,0.34737933,-0.37266496,-0.42517278,0.5586735,-0.2455311,0.61630887,-0.28095403,-0.34795222
Hepatocellular carcinoma,-0.2524986,-0.44586742,-0.9233525,0.388994,-0.48710233,-0.2599395,-0.20547065,-0.42680654,-0.7630021,-0.2433548,0.044146527,-0.5192294,-0.35707602,0.06545871,-0.30141267,-0.07224272,-0.41970506,0.36701214,-0.08845959,0.63939816,0.10031552,0.034837104,0.57693416,-0.29947892,0.32455432,0.28249666,0.10289763,0.47766417,-0.41229334,-0.047825456,0.64655125,-0.021140246,0.48012304,0.2713289,-0.21345077,0.07650201,0.0124638425,-0.5356111,0.20108092,-0.10858454,0.2519701,0.07414047,0.113018684,0.5499955,-0.113239996,0.3992324,-0.080734946,0.18924783,0.40395278,0.22647716,0.3187054,0.37000135,0.1940028,0.50078815,0.03752759,-0.52886665,0.48853528,-0.38420638,-0.15950003,0.4126886,-0.24725483,0.6548393,0.12985764,-0.43468708
Butanoate metabolism,-0.29237232,-0.16463923,-0.6963773,0.39544252,0.26605046,0.042620484,0.39516747,0.13955542,-0.508961,0.11997436,0.80480784,-1.0581936,0.20140046,0.5887599,0.45888507,-0.048920613,-0.5850385,-1.3850607,0.015757665,1.2369213,0.5975252,0.96445835,-0.14112437,-0.2824914,-0.93210876,0.035726972,-0.070734374,0.0040158085,0.20205806,-0.49058136,-0.229037,-0.5013122,0.53238034,0.13117218,-0.7594391,0.10064533,-0.13731773,-0.67393565,0.23998217,0.9099251,-0.19989221,-0.017182644,-0.061032716,0.45204425,0.477138,-0.21745366,0.3879774,0.48236915,-0.07029772,0.80583507,0.35643154,0.747028,0.48278987,-0.0047897133,-0.50039124,-0.4646342,-0.23474579,0.059594277,-0.5318464,0.44321373,-0.28723803,0.49888277,0.77380353,-0.062839784
Synthesis and degradation of ketone bodies,-0.27563298,-0.20338807,-0.63473636,0.2938523,0.426887,0.106263004,0.60730255,0.40054265,-0.43407816,0.16827875,0.6932503,-1.0077705,0.052003548,0.5052336,0.373728,0.15319869,-0.6390487,-1.3744102,0.052042082,1.1487498,0.49319437,0.7829784,-0.40589046,-0.40030256,-0.8888387,0.07587688,-0.19344252,0.13186663,0.19995622,-0.5355195,-0.4240323,-0.5213961,0.51281023,0.5009798,-0.5706181,-0.14684331,-0.2240018,-0.7230121,0.1638286,1.0719049,-0.2952542,0.2592416,-0.1351974,0.3136007,0.43270987,-0.10949798,0.57298183,0.46296138,-0.05920664,1.0725859,0.35960412,0.7256333,0.4672786,-0.104427144,-0.48899361,-0.4540775,-0.17022118,0.03838048,-0.47326365,0.48443118,-0.30073586,0.6574458,0.8038851,0.11039612
"Valine, leucine and isoleucine degradation",-0.552007,-0.22887936,-0.79516435,0.529592,0.25285932,-0.012123706,0.40698835,0.08702898,-0.5248951,0.20784825,0.5706697,-0.86977077,0.3409698,0.4869473,0.48854768,0.15944721,-0.6706496,-1.2935387,0.22036734,1.0659363,0.5503348,0.82777435,-0.06592685,-0.22497004,-1.0134346,0.33091894,-0.09411264,0.18020293,0.1601493,-0.46602067,-0.34017742,-0.471002,0.6115744,0.3052883,-0.48582697,0.22904873,-0.22540517,-0.6462669,0.20447698,0.8660837,-0.08184595,0.1735381,-0.10692469,0.12958315,0.42752826,-0.2419128,0.29030436,0.37397966,-0.072250456,0.76651424,0.4537486,0.7323992,0.6591114,0.05478602,-0.39523655,-0.46808246,-0.18662646,0.09356497,-0.36961845,0.44468343,-0.11549613,0.3698025,0.40728268,0.063531004
Kaposi sarcoma-associated herpesvirus infection,0.1146939,-0.8327714,0.15474318,0.2184849,-0.41127715,0.3949684,-0.11354276,-0.2985639,-0.6165776,0.14822823,-0.20220846,-0.24878784,-0.6526041,0.24753828,-0.112353876,0.19364618,-0.06505814,-0.25489795,-0.2621014,0.42936176,-0.012637903,0.14118902,0.52640706,-0.52679044,0.12115878,-0.14423026,-0.33461255,0.23192516,-0.18286191,-0.4936529,0.19078226,0.18211885,0.10277728,0.45299852,-0.21622804,0.06902446,0.19494398,0.16416512,-0.45186895,-0.35802653,0.24735084,0.0098938495,0.51246166,-0.009881303,0.29149815,0.35191372,-0.2221099,0.0556567,-0.17409985,0.3054783,0.16423655,-0.018878428,0.24503149,0.18927254,0.081624314,-0.042450126,0.24738093,0.16562861,-0.016624764,0.27980092,-0.49687257,0.30656523,0.36875558,0.45922792
Lipid and atherosclerosis,0.11249495,-0.7165658,0.21090066,0.37852323,-0.4438642,0.52457505,-0.30297118,-0.13074419,-0.50797266,0.07783867,-0.016091198,-0.27786526,-0.6963792,-0.0045021325,-0.070494235,0.23157279,-0.31502014,-0.20228028,-0.1724342,0.5536705,0.0009239071,0.39511177,0.28375217,-0.520646,0.04898754,-0.08431548,-0.44122753,-0.14108498,0.18856445,-0.65223813,0.2997563,-0.3986379,-0.23356369,0.30288994,-0.18482898,-0.0059220595,0.12721844,0.07528174,-0.11934914,0.042112447,-0.23378049,0.17367624,0.41266346,-0.27284816,0.3094986,-0.061160322,-0.051777918,0.044302173,-0.138374,0.2969563,0.025464026,0.17867304,0.19387527,-0.12010703,0.08414227,0.4055761,0.14778118,0.28529847,0.19557588,0.21404862,-0.42653403,-0.06854261,0.7376192,0.38545218
Cell cycle,-0.74088955,-0.6561058,-0.7143343,0.77778846,-0.0528722,0.081362605,0.45879987,-0.031429444,-0.51900226,-0.16499667,0.953899,-0.5971107,-0.09381664,-0.14710769,0.43431658,0.17012978,-0.7675487,-0.6439217,-0.11762157,0.31553048,0.11814633,0.9683252,0.4447219,-0.104612395,-0.6630957,-0.12765701,-0.12995215,0.043191332,0.19295794,-0.42830354,-0.13671328,-0.43241802,1.0787128,0.2121846,-0.4653423,0.031828534,-0.21778217,-0.22648945,0.75007457,0.6665415,0.18235236,-0.30547237,0.13833861,-0.55887276,0.13698162,-0.48050398,0.5983524,-0.04618847,-0.088446476,0.61443317,-0.095887385,0.0132051995,0.67531174,0.8766437,-0.0065781185,-0.6063799,-0.10518154,-0.13827518,-0.5576802,0.60049254,-0.20641549,0.55289596,0.0351343,0.14970644
Cellular senescence,-1.0703553,-0.49268475,-0.96658814,0.58843714,0.13936196,-0.010420915,0.37257224,-0.39611775,-0.65052956,0.069874816,0.72383815,-0.49277604,0.03540243,0.24300885,0.42217427,0.0050675953,-0.67490846,-0.5721794,0.016963758,0.4965579,0.19952036,0.6061581,0.13963442,0.03610679,-0.65912837,-0.12966613,-0.31265393,0.11094041,0.16853152,-0.6030001,-0.032661997,-0.374863,0.84406567,0.2846456,-0.38393456,0.032741673,-0.23014131,-0.120270945,0.44858083,0.7579016,0.2492414,-0.21586233,-0.12595563,-0.33715615,0.10328162,-0.30982757,0.5106425,0.0896777,-0.053693425,0.6226217,0.08758207,0.37821782,0.46138984,0.69156724,-0.19215778,-0.41359666,-0.11147555,-0.16721624,-0.44582695,0.66463345,-0.20685653,0.31322753,0.16072632,0.012005701
