pathway,cluster1,cluster2,pvalue,effect_size,adj_p
Bladder cancer,0,1,9.451262387471774e-22,-0.037929791315270966,3.1395196858037726e-21
Human immunodeficiency virus 1 infection,0,1,9.86968212103143e-22,-0.019413414732520673,3.267205115927646e-21
Regulation of actin cytoskeleton,1,2,1.2250967334833311e-21,0.023191305583638577,4.0415562341718144e-21
Glycerolipid metabolism,0,2,1.5287371969565798e-21,0.03241233968795876,5.025985305062729e-21
Proximal tubule bicarbonate reclamation,0,2,2.2352076995439338e-21,0.0570006953677487,7.323547411475004e-21
Ovarian steroidogenesis,0,1,2.343999600003348e-21,0.042073387004556456,7.65387624490889e-21
Measles,0,1,2.4687641559115664e-21,-0.028992926471921088,8.033944371780012e-21
Non-homologous end-joining,0,2,2.518435711492881e-21,-0.03261150608035554,8.167899604841776e-21
Long-term depression,0,2,2.9886389923329156e-21,0.032016074794196964,9.660247247944778e-21
Carbohydrate digestion and absorption,0,2,3.2216982488639e-21,0.026781936860215745,1.037862523123941e-20
Circadian rhythm,0,2,3.2381612542118922e-21,0.048451492260908585,1.0396771919877646e-20
Viral protein interaction with cytokine and cytokine receptor,0,2,3.5192836887528406e-21,0.07462261288222824,1.126170780400909e-20
African trypanosomiasis,0,2,3.9320545265706144e-21,0.07145504995055907,1.2540771911986013e-20
Amino sugar and nucleotide sugar metabolism,0,2,3.948061218884843e-21,-0.03761342512600177,1.2550128377912083e-20
PI3K-Akt signaling pathway,1,2,4.0304929681709405e-21,0.025808145262158355,1.2769878711036643e-20
Thyroid hormone signaling pathway,0,1,4.055039780932881e-21,0.0192524028540782,1.280538878189331e-20
Pancreatic secretion,0,2,4.591870366581199e-21,0.03344746833796243,1.4453100170222792e-20
Serotonergic synapse,0,2,4.71838810571269e-21,0.02685842803874851,1.4802786214000597e-20
N-Glycan biosynthesis,0,1,5.059794698564258e-21,-0.023484877017141637,1.5822159317985953e-20
Influenza A,0,1,6.0853722637314186e-21,-0.03041700408046455,1.896739406877325e-20
Taurine and hypotaurine metabolism,0,2,6.242678211816732e-21,0.06496399122142482,1.939472842506169e-20
Mannose type O-glycan biosynthesis,0,2,6.739729811733398e-21,-0.039519864280710526,2.0871421352464715e-20
Oocyte meiosis,0,1,6.828512670004682e-21,-0.02233384726167925,2.1078367084258826e-20
Long-term potentiation,0,1,7.364669135632215e-21,0.019693848908314937,2.266052041732989e-20
Type II diabetes mellitus,0,2,1.0064140583883851e-20,0.03345860829865546,3.086765163108146e-20
beta-Alanine metabolism,0,2,1.024501152961266e-20,0.043440361111330775,3.1322328243401764e-20
VEGF signaling pathway,1,2,1.1267106280940372e-20,0.022707426038994366,3.433784771334209e-20
Human T-cell leukemia virus 1 infection,0,1,1.3169113602669907e-20,-0.022556022537873643,4.00074337296301e-20
Type II diabetes mellitus,0,1,1.4845216302076017e-20,0.029676617318699985,4.495712192426806e-20
Endocrine and other factor-regulated calcium reabsorption,0,2,1.5363827927282368e-20,0.026217221707560273,4.6381367327644887e-20
Adherens junction,0,1,1.723606402853105e-20,0.02597649562315868,5.18702867316295e-20
Apoptosis,0,1,2.010214275819694e-20,-0.01897104655064305,6.030642827459083e-20
Signaling pathways regulating pluripotency of stem cells,0,1,3.058986801120391e-20,0.0199011521421443,9.148371741668459e-20
Bacterial invasion of epithelial cells,1,2,3.2206334956717586e-20,0.019236202218193443,9.601888682748101e-20
Central carbon metabolism in cancer,0,2,3.9025221651293365e-20,0.023506794815212506,1.1598827487690906e-19
Pathogenic Escherichia coli infection,0,2,5.289507564088219e-20,0.0168920540810574,1.5672615004705833e-19
Relaxin signaling pathway,1,2,5.981033601760284e-20,0.022472745091635743,1.7667053100584224e-19
Human papillomavirus infection,0,2,6.856565714776434e-20,0.018861358562888897,2.0191113761304833e-19
Tuberculosis,0,1,7.709556587592695e-20,-0.026675593394489105,2.2633560624125345e-19
Viral myocarditis,0,2,7.905522193556099e-20,0.04192867805306005,2.3138113737237363e-19
Pancreatic secretion,0,1,9.060683021856703e-20,0.02696954241696003,2.6438467176238405e-19
Type I diabetes mellitus,0,1,1.326368052009347e-19,-0.05807451943572836,3.8534364426029425e-19
Glycerolipid metabolism,0,1,1.3286327734391396e-19,0.025447138490827706,3.8534364426029425e-19
Ribosome biogenesis in eukaryotes,0,2,1.3573104972226456e-19,-0.0331261786301561,3.9129671992004197e-19
Bacterial invasion of epithelial cells,0,2,1.3539753226935725e-19,0.018336230348624194,3.9129671992004197e-19
Oxidative phosphorylation,0,2,1.9529514815455333e-19,-0.03069969457083621,5.613273719412312e-19
Endocrine and other factor-regulated calcium reabsorption,0,1,2.0039952273925206e-19,0.020391277718099024,5.742792293423343e-19
Human papillomavirus infection,1,2,2.077146201532169e-19,0.01792524235115428,5.934703432949055e-19
Cushing syndrome,0,2,2.1361333576626912e-19,0.017465893243276034,6.085127665745352e-19
Various types of N-glycan biosynthesis,0,1,2.485413143743193e-19,-0.02245933698451613,7.059161591696641e-19
Various types of N-glycan biosynthesis,0,2,2.613950415701519e-19,-0.026035232986525103,7.402337460393682e-19
p53 signaling pathway,0,1,3.2695323843793156e-19,-0.023802548870803325,9.231620850012184e-19
T cell receptor signaling pathway,0,2,3.9397739442867767e-19,0.021701806842793547,1.1091445708256028e-18
JAK-STAT signaling pathway,0,1,3.995325071401896e-19,0.029689958924696072,1.1214947568847427e-18
Axon guidance,0,1,4.987782419858735e-19,0.017387639896924822,1.395997411972124e-18
Primary immunodeficiency,0,1,5.082779852363689e-19,-0.09799955872709254,1.4184501913573085e-18
Cholinergic synapse,0,2,6.257238724144541e-19,0.02421890467176718,1.7411446884576116e-18
Dilated cardiomyopathy,0,2,8.887103164777435e-19,0.037652123916294855,2.4657858491868027e-18
MAPK signaling pathway,1,2,1.2619051419865517e-18,0.018254170640019107,3.491149672354725e-18
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1,2,1.3104412022191917e-18,-0.03912591926992906,3.61501021301846e-18
Adherens junction,1,2,1.3383500576621647e-18,0.024755911558896226,3.681421362050654e-18
Shigellosis,0,2,2.1797042437760383e-18,0.010156015079364339,5.978617354357134e-18
N-Glycan biosynthesis,0,2,2.646782732113095e-18,-0.024633749520534043,7.239063882702483e-18
Prolactin signaling pathway,0,1,2.9421835208322122e-18,0.018359285917924545,8.024136874996943e-18
Protein export,0,2,3.360228096970014e-18,-0.0228247403758024,9.138297374196072e-18
Pancreatic cancer,1,2,5.608905880071482e-18,0.018270434367887167,1.5210592217143e-17
Gastric cancer,0,1,5.726380364006721e-18,0.016823781592399528,1.5485422956187188e-17
Melanogenesis,0,1,5.845549733281313e-18,0.016625915631427762,1.5763280179635e-17
Rheumatoid arthritis,0,1,6.613531641771771e-18,-0.041631706717203704,1.7784286767789635e-17
Bile secretion,0,2,6.7176211927009006e-18,0.032589991831171054,1.8013732807242638e-17
Fat digestion and absorption,0,1,7.86594359650238e-18,0.03610891583376223,2.103427814106486e-17
Small cell lung cancer,1,2,8.516792837464767e-18,0.024298321330935957,2.2711447566572713e-17
Allograft rejection,0,1,1.3561751373314813e-17,-0.06597495070157755,3.606449118665435e-17
Coronavirus disease,0,2,1.5245162006884996e-17,0.02092666964108808,4.042915891328618e-17
Histidine metabolism,0,2,1.5619087763774758e-17,0.048776080717761475,4.130667838353655e-17
Hedgehog signaling pathway,0,1,1.734877967854702e-17,0.033464002089083456,4.5755023328036095e-17
Glycerophospholipid metabolism,0,1,1.791594347979923e-17,0.015241446339130618,4.7121385590704826e-17
B cell receptor signaling pathway,0,1,1.8140551516744933e-17,-0.035445525021947366,4.758177447015065e-17
Hedgehog signaling pathway,0,2,2.4552337550453853e-17,0.036594307662604214,6.422409822462044e-17
Nucleotide excision repair,0,1,2.810644957714816e-17,-0.021499495242009947,7.332117280995172e-17
Insulin secretion,0,1,2.84574967968808e-17,0.017703050178902023,7.403576402440533e-17
MicroRNAs in cancer,1,2,2.916699885557482e-17,0.025788268039134005,7.567653757122115e-17
Choline metabolism in cancer,1,2,3.0321395121062817e-17,0.017970430449478075,7.845967470679326e-17
Renin-angiotensin system,0,2,4.0047638552665747e-17,0.058582322750396695,1.0334874465204064e-16
Toll-like receptor signaling pathway,0,1,4.077425663048592e-17,-0.02855348294138721,1.0494178650205491e-16
Arrhythmogenic right ventricular cardiomyopathy,0,1,4.926798935044724e-17,0.029042497210578833,1.26463288172271e-16
Amyotrophic lateral sclerosis,0,1,4.954121758568034e-17,-0.009368476813690796,1.2682551701934168e-16
Ovarian steroidogenesis,0,2,5.671409320078205e-17,0.042077070611331535,1.4480194008710311e-16
Sphingolipid signaling pathway,1,2,6.795977524875814e-17,0.015166833226735815,1.7305406959895973e-16
Metabolism of xenobiotics by cytochrome P450,0,2,6.991180069661662e-17,0.050495607253617514,1.7755377954696286e-16
Phagosome,0,1,7.489253364421433e-17,-0.02734100438908449,1.897014044813872e-16
Vitamin digestion and absorption,0,1,7.601697115023645e-17,0.031091095636790283,1.920428744848079e-16
Autophagy,0,1,1.3252842456903562e-16,0.013371910167844503,3.3392988867788505e-16
Non-homologous end-joining,0,1,1.3480255078129967e-16,-0.02359403278227898,3.3877080824619816e-16
Focal adhesion,1,2,1.7331521532741117e-16,0.0314846851342368,4.344193386796729e-16
Inflammatory bowel disease,0,2,1.779699994711937e-16,0.03914399208273263,4.449249986779842e-16
Neuroactive ligand-receptor interaction,0,1,1.9710251278189188e-16,0.018811232708792924,4.91476395508094e-16
Regulation of actin cytoskeleton,0,1,2.2120696825568379e-16,0.016724429499389154,5.501520454027369e-16
Lysosome,0,1,2.2666311558144847e-16,-0.01932230703340032,5.62265092915221e-16
Ferroptosis,1,2,2.6116193813451596e-16,0.02705942906588321,6.461738675493178e-16
Olfactory transduction,0,2,2.636449402887019e-16,0.008191690858515122,6.506404696070793e-16
HIF-1 signaling pathway,1,2,2.969182113923226e-16,0.018504096651829033,7.308755972734095e-16
Fat digestion and absorption,0,2,3.140253282337916e-16,0.041968562665850695,7.710084785279794e-16
Necroptosis,1,2,3.434595443139982e-16,0.017385553639427703,8.411254146465263e-16
Autoimmune thyroid disease,0,1,3.5117635850853114e-16,-0.0524752533808104,8.578353795628242e-16
Ubiquinone and other terpenoid-quinone biosynthesis,0,1,3.84297240314335e-16,0.04798042774295905,9.363587581262985e-16
GABAergic synapse,0,1,3.907031018320882e-16,0.015278309921635369,9.495569057184929e-16
Inflammatory mediator regulation of TRP channels,0,1,3.9525690054906164e-16,0.01670602457386486,9.58198546785604e-16
Pyruvate metabolism,0,2,6.792641883694264e-16,0.04840934476323869,1.6425532010948349e-15
Non-small cell lung cancer,1,2,9.64601268021246e-16,0.019841585819792396,2.3266764253778798e-15
Steroid hormone biosynthesis,0,1,9.71421759408885e-16,0.04229501424283416,2.3372553609837834e-15
Natural killer cell mediated cytotoxicity,0,1,9.886092256221169e-16,-0.02992770070375668,2.3726621414930804e-15
Hepatitis C,1,2,1.0054059803114672e-15,0.02055517496944745,2.4069569603466544e-15
GABAergic synapse,0,2,1.0707923281767312e-15,0.020537500998752053,2.5571160075862236e-15
Phosphatidylinositol signaling system,0,2,1.820854256412574e-15,0.021394049246202834,4.337518824208614e-15
Steroid biosynthesis,0,2,1.839597620309442e-15,-0.04498879467725134,4.37132107796303e-15
Estrogen signaling pathway,0,2,1.8655104015958594e-15,0.021682535214355092,4.421950581560556e-15
IL-17 signaling pathway,1,2,2.9574308210310103e-15,0.03844784533614676,6.9929398723885955e-15
Glycolysis / Gluconeogenesis,0,1,3.0627009802131917e-15,0.024904515464375443,7.224061280109739e-15
Glutamatergic synapse,0,2,3.098847047173065e-15,0.025548551424329415,7.2914048168778e-15
Epithelial cell signaling in Helicobacter pylori infection,1,2,3.2029995806360395e-15,0.020628558842486155,7.518043025453785e-15
Nitrogen metabolism,0,2,3.463600610069748e-15,0.04719332260077593,8.109894111382824e-15
RNA polymerase,0,1,4.115837307989363e-15,-0.025079529107402743,9.613634588004352e-15
Graft-versus-host disease,0,1,4.385140905478772e-15,-0.0570799121503152,1.0217804051601024e-14
Chronic myeloid leukemia,1,2,5.594682357882152e-15,0.017109040105586837,1.297317648204557e-14
Asthma,0,1,5.592148179900946e-15,-0.052886938157296545,1.297317648204557e-14
Inositol phosphate metabolism,0,1,5.7111853645428635e-15,0.017859824263850327,1.3211416746894334e-14
RNA transport,0,1,5.943614147098901e-15,-0.018274705821808457,1.371603264715131e-14
Hippo signaling pathway,1,2,6.092444860998968e-15,0.018847900949763796,1.4025772341868127e-14
Glioma,1,2,6.2340627161879745e-15,0.019441576334968957,1.43174646113408e-14
Adipocytokine signaling pathway,1,2,1.4277974439378503e-14,0.021840273435030783,3.271325885871924e-14
mRNA surveillance pathway,0,2,1.8778332888822744e-14,-0.015786420018515157,4.292190374588056e-14
Mitophagy,0,1,1.998007004831921e-14,0.011718161967411933,4.556025474201055e-14
Adrenergic signaling in cardiomyocytes,0,2,2.236283047386913e-14,0.01938787193847495,5.075252306126328e-14
Tryptophan metabolism,0,1,2.2329799321506288e-14,0.028607952984902194,5.075252306126328e-14
Systemic lupus erythematosus,0,2,2.5709850687806252e-14,-0.04430189171795879,5.821098268937264e-14
Pertussis,0,2,2.8725907038871184e-14,0.030296094346245056,6.488675472309726e-14
Complement and coagulation cascades,0,2,3.0736187475638586e-14,0.05708851076628075,6.926464783242499e-14
Basal cell carcinoma,0,2,3.377680225854333e-14,0.024325310645605724,7.576105179486353e-14
Autophagy,0,2,3.370212496250955e-14,0.015428680402566453,7.576105179486353e-14
Synaptic vesicle cycle,0,1,3.5397387537677524e-14,-0.016924150885610882,7.92109371472504e-14
Phosphatidylinositol signaling system,0,1,4.076677307417663e-14,0.017313095193937478,9.101419104932456e-14
Chronic myeloid leukemia,0,2,4.241849720223153e-14,0.017009710507631504,9.44820355316526e-14
Complement and coagulation cascades,1,2,4.30038844209433e-14,0.05159772802274352,9.556418760209621e-14
VEGF signaling pathway,0,2,4.606563089795068e-14,0.01906922539177794,1.0213165279915162e-13
Tight junction,0,2,7.32149623855118e-14,0.014978517033602312,1.6195014721219198e-13
Salivary secretion,0,1,7.463350685590792e-14,0.02016339434339144,1.6470842892338299e-13
Drug metabolism,0,2,7.961847415241044e-14,0.02864035362605742,1.7530673207870188e-13
Cytosolic DNA-sensing pathway,1,2,8.017750194433082e-14,0.030477527996280215,1.7613364271523475e-13
Axon guidance,1,2,8.469298115143078e-14,0.016797718634201403,1.856284518387524e-13
Alcoholism,0,2,8.609887365207683e-14,-0.02564379584668871,1.882799970523776e-13
NOD-like receptor signaling pathway,0,2,8.64883828719652e-14,0.019304833460841386,1.887019262661059e-13
Colorectal cancer,1,2,8.675636054519549e-14,0.01729532806443229,1.888573834997453e-13
Melanogenesis,1,2,9.24643741068774e-14,0.017904530457521634,2.0082759987014097e-13
Cortisol synthesis and secretion,0,1,1.0227728708496582e-13,0.024435116902495488,2.2163926772362795e-13
Prostate cancer,1,2,1.1504006201018162e-13,0.021861043594312596,2.481763135500547e-13
ABC transporters,0,2,1.1500094567419268e-13,0.03487414978236035,2.481763135500547e-13
Inositol phosphate metabolism,0,2,1.1633868979704798e-13,0.01981997104082331,2.5041511705194186e-13
Ribosome,0,2,1.2400947484142017e-13,-0.01574322409688378,2.663290734849292e-13
Riboflavin metabolism,0,1,1.2969894608787887e-13,-0.045247363522627315,2.7792631304545473e-13
Glycerophospholipid metabolism,0,2,1.4062463514130666e-13,0.01423744685468091,3.006673713488962e-13
Ether lipid metabolism,0,1,1.5994503189098154e-13,0.020425856886326345,3.4121606803409395e-13
Hypertrophic cardiomyopathy,0,1,1.8322376400615564e-13,0.02593065680811653,3.9001067282906747e-13
Inflammatory mediator regulation of TRP channels,1,2,1.8688441537235954e-13,0.01694162212401314,3.9692265211828576e-13
Inflammatory bowel disease,0,1,1.9496533307888125e-13,-0.034538988216912356,4.131715667896821e-13
Natural killer cell mediated cytotoxicity,0,2,2.559663173455063e-13,0.018871961275821747,5.41250362668912e-13
Melanoma,1,2,2.6174442335321667e-13,0.020822609166436384,5.522519701518417e-13
Proteoglycans in cancer,0,1,2.7152407434608375e-13,0.015370493400990753,5.716296302022816e-13
Staphylococcus aureus infection,0,2,2.9507968868311785e-13,0.04674765324268067,6.198610528135517e-13
Prostate cancer,0,1,3.679510236775262e-13,0.017663629237162193,7.712510539965615e-13
T cell receptor signaling pathway,0,1,3.87965511451663e-13,-0.02731381487937673,8.114311350623017e-13
Arachidonic acid metabolism,0,1,3.98404069336407e-13,0.028389516229659992,8.314519707890233e-13
"Parathyroid hormone synthesis, secretion and action",1,2,4.012759855796431e-13,0.01992855625058626,8.356289504478468e-13
Collecting duct acid secretion,0,2,4.779048728431666e-13,-0.022229675655367764,9.930490864273592e-13
Spliceosome,0,2,5.143978894278739e-13,-0.01791985951902836,1.0665701379066068e-12
Riboflavin metabolism,0,2,5.190032781182646e-13,-0.048622220378668646,1.0737998857619268e-12
Legionellosis,1,2,5.346623468872225e-13,0.024586681479962763,1.103819038734911e-12
Necroptosis,0,1,5.950456723304722e-13,-0.013093268010777953,1.2258451618825179e-12
Citrate cycle (TCA cycle),0,1,6.571554112649944e-13,0.02819769048530496,1.3508976334355344e-12
ABC transporters,0,1,6.769239485862703e-13,0.030651346789323294,1.3885619458179905e-12
Dilated cardiomyopathy,0,1,6.942992880415623e-13,0.025693170762660318,1.4211669861831553e-12
Mitophagy,0,2,7.010540380946073e-13,0.01320878514887297,1.4319401629166447e-12
Estrogen signaling pathway,0,1,7.056398568340486e-13,0.015621398371721495,1.438246841954749e-12
Long-term depression,0,1,8.055265004568738e-13,0.017686130232319533,1.6383589839800825e-12
Hepatitis B,0,2,9.384889651762098e-13,0.013738753110349888,1.9047556164252882e-12
Colorectal cancer,0,2,1.346410188461243e-12,0.0165809275038859,2.7269067108075807e-12
Gap junction,1,2,1.6612391778995213e-12,0.018659675743020993,3.3503983419822278e-12
Ribosome biogenesis in eukaryotes,0,1,1.6578454728958174e-12,-0.02490538118564517,3.3503983419822278e-12
Viral myocarditis,0,1,2.0654241533894746e-12,-0.029690863610438434,4.1568284848090055e-12
Fructose and mannose metabolism,0,2,2.5119623056988776e-12,-0.03357399031207792,5.044945216466365e-12
Lysine degradation,0,1,2.6282579215599598e-12,0.019891714112645842,5.267489780161924e-12
Butanoate metabolism,1,2,2.6994911435419834e-12,-0.034106341112169064,5.398982287083967e-12
Starch and sucrose metabolism,0,2,3.1156971021827544e-12,0.028807590846761683,6.218439122859551e-12
Sphingolipid signaling pathway,0,2,3.1729758325488124e-12,0.01281148273174132,6.319619915449917e-12
ECM-receptor interaction,1,2,3.801419560059437e-12,0.040873335709874115,7.555616516888321e-12
Neutrophil extracellular trap formation,0,2,3.835009373169595e-12,-0.02614712013562213,7.6066301616587e-12
Thiamine metabolism,0,2,4.013453882228441e-12,0.03369693197423546,7.944156138019181e-12
"Valine, leucine and isoleucine degradation",0,2,4.180106914856181e-12,0.03156119548655051,8.25700131329616e-12
Wnt signaling pathway,1,2,4.382871356189889e-12,0.017034845974265883,8.639746410559123e-12
Central carbon metabolism in cancer,1,2,5.058681912472548e-12,0.017448806362421965,9.951505401585342e-12
Sulfur relay system,0,2,5.943427951347887e-12,-0.05881195826854624,1.1668079413689102e-11
Ubiquitin mediated proteolysis,0,2,6.164916749321406e-12,-0.012963006528961318,1.2053605049589714e-11
Endocytosis,0,2,6.162035585167817e-12,0.008682118779119619,1.2053605049589714e-11
Fatty acid elongation,1,2,7.005010447954614e-12,-0.025990881690060308,1.3668313069179735e-11
Nucleotide excision repair,1,2,7.772073052482885e-12,-0.019090150904489317,1.5134259899358154e-11
Glyoxylate and dicarboxylate metabolism,1,2,8.451401090038383e-12,-0.022168415979041234,1.642377539764544e-11
Glycosphingolipid biosynthesis,0,1,8.862196621867583e-12,-0.025826124369443374,1.7187290418167433e-11
Yersinia infection,0,1,1.0537759009255596e-11,-0.015109595969666184,2.0395662598559215e-11
Fluid shear stress and atherosclerosis,0,1,1.0570095603063204e-11,0.01485821927890868,2.0417086074327316e-11
Fc gamma R-mediated phagocytosis,0,1,1.3914076560239523e-11,-0.01578585995527762,2.682231626070269e-11
Human T-cell leukemia virus 1 infection,0,2,2.3324116392559783e-11,0.0151010987563161,4.487204756885249e-11
Protein digestion and absorption,1,2,2.5555636889176974e-11,0.03177871796990466,4.9066822827219786e-11
Vitamin B6 metabolism,0,2,2.607039688681806e-11,0.0557931248064233,4.995525151965137e-11
Wnt signaling pathway,0,1,2.8381567517665266e-11,0.013842781128596146,5.4275507603503294e-11
Vascular smooth muscle contraction,1,2,2.8567961879895205e-11,0.017716050563049215,5.452334672902465e-11
Starch and sucrose metabolism,0,1,3.012660671542069e-11,0.025105966310501243,5.73840127912775e-11
Glycosaminoglycan biosynthesis,0,1,3.3733912358640904e-11,-0.02572699202379425,6.41278333946441e-11
Apelin signaling pathway,1,2,3.612484249248626e-11,0.01636265428549072,6.853725057863006e-11
Peroxisome,1,2,3.987211955459262e-11,-0.023838669844827187,7.549750448206887e-11
Vibrio cholerae infection,0,1,4.177915492274584e-11,-0.01189794700504232,7.89527337122756e-11
Renin secretion,1,2,5.805277529088377e-11,0.02250708308236358,1.094904995663034e-10
Hepatocellular carcinoma,0,1,5.84401727708965e-11,0.010727510393491652,1.1000503109815811e-10
One carbon pool by folate,0,2,5.943035371160078e-11,-0.029262177108691438,1.1164997957561007e-10
Cholesterol metabolism,1,2,6.278397924044237e-11,0.025883882873859204,1.1771996107582944e-10
ErbB signaling pathway,1,2,6.80650521936664e-11,0.014309008275271345,1.2737319708756286e-10
Neurotrophin signaling pathway,1,2,7.110668555361121e-11,0.012136133107991498,1.3280626095616102e-10
Renal cell carcinoma,0,2,7.640753378607612e-11,0.015963522317926915,1.4242957754297684e-10
Pathways in cancer,0,1,8.693198559842535e-11,0.009917282688081036,1.6173392669474483e-10
Gastric cancer,1,2,9.668504889868096e-11,0.013612493221627012,1.795312319975507e-10
GnRH signaling pathway,1,2,1.103444051470076e-10,0.013481821155586715,2.0449928367012993e-10
Vasopressin-regulated water reabsorption,0,1,1.2756750932216385e-10,0.015089787017607048,2.359630230236557e-10
Endometrial cancer,0,1,1.2927660463785202e-10,0.012060351686390414,2.386645008698807e-10
Propanoate metabolism,1,2,1.31640650604629e-10,-0.027559095236585257,2.425624272177425e-10
Mannose type O-glycan biosynthesis,0,1,1.3327894982440318e-10,-0.02239362279731398,2.451107123207415e-10
Renal cell carcinoma,1,2,1.5567750067539256e-10,0.01573141036901865,2.8575602418427695e-10
Ascorbate and aldarate metabolism,0,2,1.6437106521350538e-10,0.049880126186465285,3.011378293987885e-10
Cushing syndrome,0,1,1.7077638737553588e-10,0.010933440070063014,3.122768226295513e-10
Oxytocin signaling pathway,1,2,2.0316546397596784e-10,0.013551831746459075,3.707962840626029e-10
Prion disease,0,1,2.658447093241002e-10,-0.011090217514728495,4.842711972507328e-10
Cortisol synthesis and secretion,0,2,2.887690063386203e-10,0.02293181383264134,5.250345569793095e-10
Ubiquinone and other terpenoid-quinone biosynthesis,1,2,3.3717155982092797e-10,-0.03511544819158749,6.118803354028182e-10
Endometrial cancer,1,2,3.564968862200716e-10,0.013548600849867365,6.457302090023938e-10
RNA degradation,0,2,4.236880467591098e-10,-0.015458304363410419,7.659896890560177e-10
Cellular senescence,1,2,5.200126823018274e-10,0.015606668173003269,9.383687500183352e-10
IL-17 signaling pathway,0,1,5.298755687440299e-10,-0.024993768286449003,9.543725065558512e-10
Tuberculosis,0,2,5.413950649661908e-10,0.017184369098432323,9.732944988156238e-10
"Glycine, serine and threonine metabolism",0,1,6.6092339305278e-10,0.022143295466689097,1.185955995010596e-09
Basal transcription factors,0,1,7.62292208528504e-10,-0.014224677462742058,1.3652994779614996e-09
NOD-like receptor signaling pathway,0,1,7.863626475054483e-10,-0.01616307962949723,1.4057879731940978e-09
Parkinson disease,0,2,8.072802137947706e-10,-0.010938594076420838,1.4405000097453156e-09
Huntington disease,0,1,8.17755096092887e-10,-0.009074349172314977,1.456484030146886e-09
D-Glutamine and D-glutamate metabolism,0,1,8.254872202411787e-10,0.028673442622949713,1.4675328359843177e-09
Glycosaminoglycan biosynthesis,1,2,8.344766972827038e-10,0.021540304777398794,1.4807719582096036e-09
Linoleic acid metabolism,0,1,8.580341013938513e-10,0.023810892945462042,1.51976519804077e-09
B cell receptor signaling pathway,0,2,8.775741184734337e-10,0.016314661301738115,1.5515122536546893e-09
Endocytosis,1,2,8.939783348930928e-10,0.007746902129167954,1.574714131187833e-09
Asthma,0,2,8.925776091046127e-10,0.04795303731652577,1.574714131187833e-09
Prolactin signaling pathway,1,2,9.309826910666283e-10,0.014728727431748273,1.6368926436336323e-09
Nicotine addiction,0,1,1.0757106745637086e-09,0.01980039087395996,1.887901732323876e-09
Rheumatoid arthritis,0,2,1.099586704794951e-09,0.0311807839926405,1.926283278472907e-09
Graft-versus-host disease,0,2,1.1026603204793586e-09,0.040437915796986815,1.9281491942808455e-09
Breast cancer,1,2,1.1655991326500303e-09,0.014313708256835894,2.034500304261871e-09
Hepatitis C,0,1,1.183110838325779e-09,-0.01328439927913333,2.061318339006802e-09
Propanoate metabolism,0,2,1.1912712227899719e-09,0.03381366537409913,2.0717760396347338e-09
Protein processing in endoplasmic reticulum,0,2,1.872395734303536e-09,-0.008813031895636758,3.2504519076517076e-09
FoxO signaling pathway,1,2,2.33169872887014e-09,0.013756438100826718,4.04048877204934e-09
ECM-receptor interaction,0,1,2.6953954895539718e-09,0.030111720062183434,4.662305711660924e-09
Autoimmune thyroid disease,0,2,2.757098951240258e-09,0.031825303562965306,4.760458620846488e-09
TGF-beta signaling pathway,0,1,3.682642314652108e-09,0.02011401557103143,6.338234477158485e-09
Cellular senescence,0,1,3.68409878984837e-09,-0.012832802801726884,6.338234477158485e-09
Pathways of neurodegeneration,0,2,4.654692207324622e-09,-0.0063442411027405665,7.993746903455523e-09
Thermogenesis,1,2,4.706112227098187e-09,-0.009523844754221245,8.06762096073975e-09
Butanoate metabolism,0,2,4.917568692274161e-09,0.030053966050241687,8.415090810308724e-09
Fanconi anemia pathway,1,2,4.9802668860770825e-09,-0.028890168057312662,8.507217456644127e-09
Steroid biosynthesis,0,1,5.067437249756576e-09,-0.030110001352496946,8.64074557684958e-09
Mucin type O-glycan biosynthesis,0,2,5.235677308889409e-09,0.023991523947449588,8.91179116406708e-09
Protein processing in endoplasmic reticulum,0,1,5.878461863736394e-09,-0.007218263312980588,9.988182989711395e-09
Hepatocellular carcinoma,1,2,6.0441319650530064e-09,0.010658386433147066,1.0251531248146442e-08
Oxidative phosphorylation,1,2,6.380665861962572e-09,-0.01645831082328658,1.080324378744986e-08
Collecting duct acid secretion,0,1,8.498726868487707e-09,-0.015574436607986047,1.4364045411528519e-08
Maturity onset diabetes of the young,0,1,9.747920147873078e-09,-0.019556850293820316,1.6446403061437884e-08
Primary bile acid biosynthesis,0,1,1.0067991514459498e-08,0.022362213883576048,1.6956617287510734e-08
Neutrophil extracellular trap formation,1,2,1.009398921370275e-08,0.022016263913108805,1.6970629851409177e-08
RIG-I-like receptor signaling pathway,0,2,1.0444037409096531e-08,-0.014553608222880002,1.7528454392889283e-08
Allograft rejection,0,2,1.4118387111220877e-08,0.03759248839808023,2.365384228057948e-08
Spliceosome,0,1,1.4662696549992974e-08,-0.012431159590846674,2.452297680835062e-08
Steroid hormone biosynthesis,0,2,1.5307634804217073e-08,0.03252831506142764,2.5546738816883418e-08
Cholinergic synapse,1,2,1.532804329013005e-08,0.013924043263524716,2.5546738816883418e-08
Basal transcription factors,1,2,1.590160478177054e-08,-0.013767148000391194,2.645674279116069e-08
Cholinergic synapse,0,1,1.6658219909935996e-08,0.010294861408242463,2.7667631684322764e-08
TGF-beta signaling pathway,1,2,1.719657258242833e-08,0.02211412307053423,2.8512451950140235e-08
