pathway,cluster1,cluster2,pvalue,effect_size,adj_p
Transcriptional misregulation in cancer,1,2,5.0622514276686716e-37,0.03143015551535003,7.253375179943171e-36
Human T-cell leukemia virus 1 infection,1,2,6.610510406807893e-37,0.037657121294189744,9.332485280199378e-36
Pathways in cancer,1,2,7.0915809890195316e-37,0.02477113173391235,9.866547462983696e-36
Phagosome,1,2,7.28492943734746e-37,0.046516949238169986,9.990760371219373e-36
Leukocyte transendothelial migration,1,2,1.0663630012150685e-36,0.044176408955615865,1.4418429312203744e-35
Melanogenesis,0,2,1.142506939691404e-36,0.034530446088949396,1.5233425862552052e-35
Cytokine-cytokine receptor interaction,1,2,1.646991581047672e-36,0.06818588755059063,2.1659067367202264e-35
Apelin signaling pathway,0,1,1.7454575809226566e-36,0.03193464695404552,2.264377402278041e-35
TNF signaling pathway,0,2,1.9530406417323554e-36,0.05412290930271385,2.499892021417415e-35
Phenylalanine metabolism,0,1,2.227756823873246e-36,0.10730989595356168,2.814008619629363e-35
ErbB signaling pathway,0,2,2.574196371981243e-36,0.03668411612831882,3.209387684548043e-35
Rheumatoid arthritis,1,2,2.902051756800187e-36,0.0728124907098442,3.5717560083694607e-35
Neurotrophin signaling pathway,0,2,3.677840118945727e-36,0.028912510379289852,4.469274068592276e-35
AMPK signaling pathway,0,1,4.2218294414330854e-36,0.040424188157788726,5.066195329719702e-35
Oxytocin signaling pathway,0,1,5.4040862082414824e-36,0.028676699294162444,6.404842913471386e-35
Th17 cell differentiation,1,2,6.735800963848842e-36,0.06594362364103812,7.885815762554741e-35
Aminoacyl-tRNA biosynthesis,0,2,7.793541341478972e-36,-0.04302233864103977,9.014216491349173e-35
Leukocyte transendothelial migration,0,2,8.023011998656253e-36,0.04370773261870767,9.169156569892861e-35
Epstein-Barr virus infection,0,1,8.256921489435691e-36,-0.04275196437243245,9.325464270421486e-35
Choline metabolism in cancer,0,1,9.613193480065546e-36,0.02380544956803604,1.0731006675422005e-34
Amoebiasis,1,2,1.1608518366897112e-35,0.04868234636898494,1.280939957726578e-34
