pathway,cluster1,cluster2,pvalue,effect_size,adj_p,Pathway,Importance
Regulation of lipolysis in adipocytes,0,2,4.566581444046933e-41,0.1112382783562158,1.043790044353585e-39,Regulation of lipolysis in adipocytes,0.0150729140908984
Regulation of lipolysis in adipocytes,0,1,5.080146305073801e-38,0.0964266571164502,8.128234088118082e-37,Regulation of lipolysis in adipocytes,0.0150729140908984
Tuberculosis,1,2,1.5655588700549422e-38,0.0438599624929214,2.783215768986564e-37,Tuberculosis,0.0142600960061563
Tuberculosis,0,1,7.709556587592695e-20,-0.0266755933944891,2.2633560624125345e-19,Tuberculosis,0.0142600960061563
Tuberculosis,0,2,5.413950649661908e-10,0.0171843690984323,9.732944988156236e-10,Tuberculosis,0.0142600960061563
B cell receptor signaling pathway,1,2,7.812329161425821e-30,0.0517601863236854,4.360369764516738e-29,B cell receptor signaling pathway,0.0135292912964506
B cell receptor signaling pathway,0,1,1.8140551516744933e-17,-0.0354455250219473,4.758177447015065e-17,B cell receptor signaling pathway,0.0135292912964506
B cell receptor signaling pathway,0,2,8.775741184734336e-10,0.0163146613017381,1.5515122536546891e-09,B cell receptor signaling pathway,0.0135292912964506
Kaposi sarcoma-associated herpesvirus infection,1,2,2.903271048135165e-37,0.0322363767893178,4.495387429370578e-36,Kaposi sarcoma-associated herpesvirus infection,0.0130386596263282
Kaposi sarcoma-associated herpesvirus infection,0,2,8.647186544794368e-34,0.0276577775144995,7.218520941741384e-33,Kaposi sarcoma-associated herpesvirus infection,0.0130386596263282
Fanconi anemia pathway,0,2,3.131661805190808e-50,-0.0855943946182664,2.7330866663483412e-48,Fanconi anemia pathway,0.0125467796675799
Fanconi anemia pathway,0,1,1.0776924390783155e-31,-0.0567042265609537,7.337480436277893e-31,Fanconi anemia pathway,0.0125467796675799
Fanconi anemia pathway,1,2,4.980266886077082e-09,-0.0288901680573126,8.507217456644127e-09,Fanconi anemia pathway,0.0125467796675799
Chagas disease,1,2,1.7698463388577462e-40,0.0417097432824107,3.7756721895631915e-39,Chagas disease,0.0123074755394285
Chagas disease,0,2,7.16751316698998e-25,0.0336545937377374,2.7633785704057752e-24,Chagas disease,0.0123074755394285
Human T-cell leukemia virus 1 infection,1,2,6.610510406807893e-37,0.0376571212941897,9.332485280199378e-36,Human T-cell leukemia virus 1 infection,0.0121521582263781
Human T-cell leukemia virus 1 infection,0,1,1.3169113602669907e-20,-0.0225560225378736,4.0007433729630103e-20,Human T-cell leukemia virus 1 infection,0.0121521582263781
Human T-cell leukemia virus 1 infection,0,2,2.3324116392559783e-11,0.0151010987563161,4.487204756885249e-11,Human T-cell leukemia virus 1 infection,0.0121521582263781
C-type lectin receptor signaling pathway,1,2,1.546147594951626e-35,0.0385214242230853,1.6133714034277832e-34,C-type lectin receptor signaling pathway,0.0121496450610277
C-type lectin receptor signaling pathway,0,2,4.068160153648248e-33,0.0363663929778233,3.2545281229185984e-32,C-type lectin receptor signaling pathway,0.0121496450610277
Phenylalanine metabolism,0,1,2.227756823873246e-36,0.1073098959535616,2.8140086196293626e-35,Phenylalanine metabolism,0.0120601852686398
Phenylalanine metabolism,0,2,1.8051239502773726e-34,0.112430582910124,1.634829237987055e-33,Phenylalanine metabolism,0.0120601852686398
Th17 cell differentiation,1,2,6.735800963848842e-36,0.0659436236410381,7.88581576255474e-35,Th17 cell differentiation,0.0118574379449061
Th17 cell differentiation,0,2,2.6143099139231197e-34,0.0481843201577962,2.3238310345983284e-33,Th17 cell differentiation,0.0118574379449061
Th17 cell differentiation,0,1,8.83087203295807e-06,-0.0177593034832418,1.292322736530449e-05,Th17 cell differentiation,0.0118574379449061
Osteoclast differentiation,1,2,2.0047108743732193e-43,0.0591329702168184,6.208136901284807e-42,Osteoclast differentiation,0.0115697044087749
Osteoclast differentiation,0,2,1.4356744025262744e-23,0.0429034867398353,5.200933684623484e-23,Osteoclast differentiation,0.0115697044087749
Osteoclast differentiation,0,1,7.818944518514144e-06,-0.0162294834769831,1.1477349751947366e-05,Osteoclast differentiation,0.0115697044087749
Fc gamma R-mediated phagocytosis,1,2,5.822781411493702e-42,0.0392599513583618,1.509614467334926e-40,Fc gamma R-mediated phagocytosis,0.011146580327096
Fc gamma R-mediated phagocytosis,0,2,3.9811783219037e-24,0.0234740914030842,1.4699735342413666e-23,Fc gamma R-mediated phagocytosis,0.011146580327096
Fc gamma R-mediated phagocytosis,0,1,1.3914076560239523e-11,-0.0157858599552776,2.6822316260702688e-11,Fc gamma R-mediated phagocytosis,0.011146580327096
Leishmaniasis,1,2,4.036817987204971e-37,0.0680757092249653,6.055226980807458e-36,Leishmaniasis,0.0105830551107714
Leishmaniasis,0,1,2.1701677788511915e-22,-0.0434858959681613,7.5758584279896155e-22,Leishmaniasis,0.0105830551107714
Leishmaniasis,0,2,3.9746903502200194e-08,0.024589813256804,6.445443811167599e-08,Leishmaniasis,0.0105830551107714
Fc epsilon RI signaling pathway,1,2,3.248644440854568e-34,0.0378606134314365,2.8351806029276237e-33,Fc epsilon RI signaling pathway,0.0105477514130804
Fc epsilon RI signaling pathway,0,2,4.017398533106589e-25,0.0273229529732671,1.6069594132426354e-24,Fc epsilon RI signaling pathway,0.0105477514130804
Fc epsilon RI signaling pathway,0,1,2.6203740383533243e-05,-0.0105376604581693,3.704799818584965e-05,Fc epsilon RI signaling pathway,0.0105477514130804
Natural killer cell mediated cytotoxicity,1,2,4.128149499680261e-31,0.0487996619795784,2.695934367138129e-30,Natural killer cell mediated cytotoxicity,0.01045207049556
Natural killer cell mediated cytotoxicity,0,1,9.886092256221169e-16,-0.0299277007037566,2.3726621414930804e-15,Natural killer cell mediated cytotoxicity,0.01045207049556
Natural killer cell mediated cytotoxicity,0,2,2.559663173455063e-13,0.0188719612758217,5.41250362668912e-13,Natural killer cell mediated cytotoxicity,0.01045207049556
Leukocyte transendothelial migration,1,2,1.0663630012150685e-36,0.0441764089556158,1.4418429312203744e-35,Leukocyte transendothelial migration,0.010256166936882
Leukocyte transendothelial migration,0,2,8.023011998656253e-36,0.0437077326187076,9.169156569892859e-35,Leukocyte transendothelial migration,0.010256166936882
